name,avg,var,count,color,rarity,legendary,x,y,freq
karn_scion_of_urza,1.4080118694362018,0.43441652211430926,674,C,mythic,1,-0.08067955722223835,-0.21301498504731833,1605
adamant_will,8.621917300203968,8.607099828502854,5393,W,common,0,-0.5222484744656354,0.2941764338193169,15214
aven_sentry,6.4340049807561694,7.028076172037678,4417,W,common,0,-0.6291232683971788,0.12133624180933741,12140
baird_steward_of_argive,2.4542656112576955,1.5319892803741426,2274,W,uncommon,1,-0.5932241815076115,0.05817372711132672,7575
benalish_honor_guard,7.729976258902911,9.18074205866415,8003,W,common,0,-0.5278376408633855,0.33725749863663224,21495
benalish_marshal,1.398034398034398,0.4754752518880283,814,W,rare,0,-0.6364365204769594,0.16506579534320096,2227
blessed_light,3.8484247085090546,3.374941080848185,4031,W,common,0,-0.6463286652569072,-0.009655604780094139,12434
board_the_weatherlight,8.415,11.434313461538462,2600,W,uncommon,0,-0.4691899795636153,-0.03207729003453057,6963
call_the_cavalry,5.915730337078652,6.705757550253195,6408,W,common,0,-0.5588676404627491,0.3199008990244005,17009
charge,10.973223223223224,7.623657378599821,7992,W,common,0,-0.4393745861144022,0.3144743188143284,24311
d'avenant_trapper,5.323971078976641,5.0727401815884905,3596,W,common,0,-0.645159977238634,0.020838671084259068,10668
danitha_capashen_paragon,1.8658104517271923,0.8947478152672007,2258,W,uncommon,1,-0.6395799126920013,-0.04948157753884569,7217
daring_archaeologist,1.429059829059829,0.49454014171962885,585,W,rare,0,-0.5847136242842681,-0.1914570458628314,1889
dauntless_bodyguard,5.126005361930295,5.7294309597567725,2238,W,uncommon,0,-0.5818494277846163,0.22280010596694233,5948
dub,8.971302132224755,9.715416207093483,7457,W,common,0,-0.4987985132007834,0.23942703001691276,20819
evra_halcyon_witness,1.4774322968906721,0.586501731875667,997,W,rare,1,-0.5687939921876275,-0.0790359027185206,3085
excavation_elephant,9.275963597430406,8.347559296319393,3736,W,common,0,-0.5099103919888237,0.0829768067741709,10274
fall_of_the_thran,2.7928286852589643,2.7698290503325342,502,W,rare,0,-0.5002866290272324,-0.09411801084876208,1643
gideon's_reproach,3.9429668220455167,3.4472544828586424,3647,W,common,0,-0.633518328361048,0.08298554901803538,11840
healing_grace,11.040127770013974,7.0598790812990995,5009,W,common,0,-0.4334739191352804,0.18917640296343285,15131
history_of_benalia,1.0,0.0,467,W,mythic,0,-0.5933562821404796,0.24735264501129223,1244
invoke_the_divine,10.961497703991522,6.822254768539413,5662,W,common,0,-0.44148644795961356,0.22965614765013076,17244
knight_of_grace,2.075107296137339,1.015818121534749,932,W,uncommon,0,-0.6153882017912368,0.19574768317939242,3652
knight_of_new_benalia,8.347095359883083,9.174007821743174,5474,W,common,0,-0.568783584370598,0.28709234236591474,15376
kwende_pride_of_femeref,3.667584940312213,3.7058454989834906,3267,W,uncommon,1,-0.5562922333514415,0.12599853506467731,9160
lyra_dawnbringer,1.0,0.0,609,W,mythic,1,-0.61070077572293,-0.1646263715984827,1717
mesa_unicorn,6.956877964639931,7.8239274672117265,6957,W,common,0,-0.598263618385671,0.14022752046413742,19164
on_serra's_wings,2.5157687253613665,1.5059931344226853,1522,W,uncommon,1,-0.6140988193686779,-0.07903920216535894,5282
pegasus_courser,7.097747816761146,7.93406417847501,6527,W,common,0,-0.575446739801132,0.18847450642189292,17541
sanctum_spirit,5.295441089402013,6.512477736168381,1689,W,uncommon,0,-0.5402324678638007,0.03586627276321696,4591
seal_away,1.965721819380356,0.9309278408752661,1517,W,uncommon,0,-0.6340934668058008,-0.11049280348636617,5111
sergeant-at-arms,6.279367620572343,6.813688773600362,4997,W,common,0,-0.5594746796298375,0.2617825725065987,14187
serra_angel,1.4635071090047393,0.43634599402529145,1055,W,uncommon,0,-0.6437348780421657,0.04516458092353625,3823
serra_disciple,6.985940246045694,8.116114833304366,6259,W,common,0,-0.6073738971351205,-0.0008309108649757751,17472
shalai_voice_of_plenty,2.0844185002245172,2.2209830812563047,2227,W,rare,1,-0.3793937161109288,0.26374699061123924,9125
teshar_ancestor's_apostle,2.105032822757112,1.5611781717891875,1828,W,rare,1,-0.5766370005691183,-0.13175366135307356,5191
tragic_poet,11.265660478162149,7.1001203831889255,7487,W,common,0,-0.4150400709769343,0.11356496377194794,22050
triumph_of_gerrard,2.952146375791696,1.9681533804038251,1421,W,uncommon,0,-0.5680848298734983,-0.002174861162659084,4907
urza's_ruinous_blast,1.751543209876543,1.035491445663771,648,W,rare,1,-0.5474651365760353,-0.16717415929832385,2126
academy_drake,6.174522878822718,7.119921162330089,4349,U,common,0,-0.22944147409978757,-0.6100398391133406,13148
academy_journeymage,7.025531914893617,8.936199185151652,5875,U,common,0,0.0015514187173581888,-0.6519399944414185,16892
the_antiquities_war,8.430675909878683,18.79198793136074,2308,U,rare,0,-0.359892685338308,-0.34310572572257303,6197
arcane_flight,7.77370417193426,9.25169790995731,3955,U,common,0,-0.13107934997025883,-0.6208049479626038,11850
artificer's_assistant,10.432851740521672,10.151047205499006,10313,U,common,0,-0.41819123719658413,-0.4288424671269255,29577
befuddle,11.053178155774395,7.16655435769651,5585,U,common,0,-0.07568847176381555,-0.47856647748353043,17148
blink_of_an_eye,3.8765690376569037,3.413635090422087,2390,U,common,0,-0.1686526607746764,-0.6355156804030727,10585
cloudreader_sphinx,8.160874009711218,9.626432356475028,7826,U,common,0,-0.22239940745020478,-0.5368375612557283,21009
cold-water_snapper,10.49139167862267,8.810901506559162,6970,U,common,0,-0.1616552423444186,-0.4107263199721769,19982
curator's_ward,8.514807502467917,11.852939671730484,2026,U,uncommon,0,-0.2345900260256561,-0.4343955352763518,5715
deep_freeze,7.33891680625349,9.102518610797022,5373,U,common,0,-0.261287639665992,-0.573455728985337,16035
diligent_excavator,6.250258531540848,9.854640574319662,967,U,uncommon,0,-0.37115141945622304,-0.4885339104908515,2825
divination,9.900227531285552,9.690728048343283,8790,U,common,0,-0.05994075564289158,-0.5068326935132516,24876
homarid_explorer,11.674233313289236,7.007375765168036,6652,U,common,0,-0.39116343626442934,-0.39688320218638345,20198
in_bolas's_clutches,2.1826714801444043,1.3218657873815638,1385,U,uncommon,1,-0.2842169486816264,-0.5847083663102648,5411
