name,avg,var,count,color,rarity,legendary,x,y,freq
angel_of_grace,1.0,0.0,902,W,mythic,0,-0.3749939343629498,-0.2851519075264263,2730
angelic_exaltation,4.704590035307964,6.964517966491524,2549,W,uncommon,0,-0.5071025659285642,-0.23553122421030143,7394
archway_angel,3.984907769703745,5.089207663377307,1789,W,uncommon,0,-0.4189024567806237,-0.34636596832490446,5890
arrester's_zeal,8.019244145606306,9.241224840230622,4313,W,common,0,-0.4956284081653284,-0.2735166627695959,15778
bring_to_trial,7.394883657640495,10.063960760039091,7349,W,common,0,-0.45145394281044826,-0.3047501504860728,23988
civic_stalwart,7.04484425349087,9.880642054153336,3724,W,common,0,-0.5440125134759152,-0.2097558395241135,13100
concordia_pegasus,8.42959504939746,9.414080163883863,9211,W,common,0,-0.44565348222885276,-0.3427072131508605,31155
expose_to_daylight,11.303048596438273,6.042480896219733,6626,W,common,0,-0.3576543137782796,-0.1300239694096614,28883
forbidding_spirit,2.9597090095131504,3.397369361323417,1787,W,uncommon,0,-0.5377839720419196,-0.2549523581664405,6879
haazda_officer,8.184278721566368,9.619367007831132,3473,W,common,0,-0.5388740971165368,-0.179535248289411,13078
hero_of_precinct_one,2.243609022556391,2.8328852205702226,1995,W,rare,0,-0.49299205007646874,-0.15720097676608127,5692
impassioned_orator,6.093526785714285,7.718708097496811,4480,W,common,0,-0.5650746857879335,-0.19287490196064785,15793
justiciar's_portal,9.974179576878228,9.081958659739485,6003,W,common,0,-0.42269765861852965,-0.21655911616732193,23323
knight_of_sorrows,9.782991625758013,9.113894948529351,6926,W,common,0,-0.501214691173684,-0.11102050938679218,25556
lumbering_battlement,1.0198675496688743,0.019472830139028986,906,W,rare,0,-0.4763743140015858,-0.2167555249811394,3151
ministrant_of_obligation,2.653156664068589,2.578842334770477,2566,W,uncommon,0,-0.5712000954288378,-0.13338237319329946,8757
prowling_caracal,10.952535643385671,6.679032101463712,5541,W,common,0,-0.4114221726059758,-0.14746369238777063,23949
rally_to_battle,8.80261160036441,11.42353402375854,3293,W,uncommon,0,-0.388988961331968,-0.2402980013036963,11206
resolute_watchdog,8.685483870967742,11.669276461485099,4836,W,uncommon,0,-0.3857148186558336,-0.2141279081528495,16438
sentinel's_mark,4.1537102473498235,5.1359726887171355,1698,W,uncommon,0,-0.49741758312779405,-0.29943011656047713,5702
sky_tether,4.648491879350348,6.128955575533436,2586,W,uncommon,0,-0.44115673332225,-0.3577744498406621,8220
smothering_tithe,7.87526974536038,17.315905462412235,2317,W,rare,0,-0.26328264781088295,-0.11993749309403366,7571
spirit_of_the_spires,3.8194404384193827,4.728286620839496,3467,W,uncommon,0,-0.4847363462018292,-0.3240324937467662,10346
summary_judgment,2.1967413441955195,1.525854961610413,2455,W,common,0,-0.504835481030843,-0.32368556982112073,11397
syndicate_messenger,6.838936014242329,9.000762759441272,9549,W,common,0,-0.5537395844017577,-0.17620401873901637,30413
tenth_district_veteran,8.194376255300156,10.451171230000796,4481,W,common,0,-0.5062621698775572,-0.2411860048910384,16166
tithe_taker,2.497293640054127,3.256758575480525,1478,W,rare,0,-0.5157488988604881,-0.16060918829477405,4886
twilight_panther,10.445115452930729,9.62958093693705,11260,W,common,0,-0.4812464232715614,-0.025500272660893098,41016
unbreakable_formation,2.9269320843091333,4.108010025832424,2135,W,rare,0,-0.4317455361245605,-0.2679828671912618,6187
watchful_giant,11.096623155505108,6.789330254128976,7048,W,common,0,-0.35319101103835243,-0.1749560328342021,29723
arrester's_admonition,3.4840075258701786,4.610045275578357,2126,U,common,0,0.04797773746724002,-0.5779352212913677,10430
benthic_biomancer,4.682190882256478,8.259443412563634,3049,U,rare,0,0.2609723335457914,-0.42730504879205605,8530
chillbringer,6.162512768130745,9.00801248068478,9790,U,common,0,0.10966090539158758,-0.5467041573638087,31473
