"","bot","pick_num","m","pack"
"1","ClassicBot",1,0.622,0
"2","ClassicBot",2,0.374,0
"3","ClassicBot",3,0.304,0
"4","ClassicBot",4,0.278,0
"5","ClassicBot",5,0.302,0
"6","ClassicBot",6,0.306,0
"7","ClassicBot",7,0.294,0
"8","ClassicBot",8,0.328,0
"9","ClassicBot",9,0.348,0
"10","ClassicBot",10,0.41,0
"11","ClassicBot",11,0.378,0
"12","ClassicBot",12,0.438,0
"13","ClassicBot",13,0.552,0
"14","ClassicBot",14,0.804,0
"15","ClassicBot",15,1,0
"16","ClassicBot",16,0.414,1
"17","ClassicBot",17,0.316,1
"18","ClassicBot",18,0.282,1
"19","ClassicBot",19,0.296,1
"20","ClassicBot",20,0.288,1
"21","ClassicBot",21,0.316,1
"22","ClassicBot",22,0.32,1
"23","ClassicBot",23,0.34,1
"24","ClassicBot",24,0.358,1
"25","ClassicBot",25,0.366,1
"26","ClassicBot",26,0.406,1
"27","ClassicBot",27,0.442,1
"28","ClassicBot",28,0.518,1
"29","ClassicBot",29,0.776,1
"30","ClassicBot",30,1,1
"31","ClassicBot",31,0.368,2
"32","ClassicBot",32,0.306,2
"33","ClassicBot",33,0.312,2
"34","ClassicBot",34,0.3,2
"35","ClassicBot",35,0.292,2
"36","ClassicBot",36,0.294,2
"37","ClassicBot",37,0.3,2
"38","ClassicBot",38,0.322,2
"39","ClassicBot",39,0.348,2
"40","ClassicBot",40,0.334,2
"41","ClassicBot",41,0.364,2
"42","ClassicBot",42,0.418,2
"43","ClassicBot",43,0.526,2
"44","ClassicBot",44,0.78,2
"45","ClassicBot",45,1,2
"46","NNetBot",1,0.674,0
"47","NNetBot",2,0.476,0
"48","NNetBot",3,0.414,0
"49","NNetBot",4,0.398,0
"50","NNetBot",5,0.378,0
"51","NNetBot",6,0.354,0
"52","NNetBot",7,0.37,0
"53","NNetBot",8,0.388,0
"54","NNetBot",9,0.4,0
"55","NNetBot",10,0.426,0
"56","NNetBot",11,0.438,0
"57","NNetBot",12,0.492,0
"58","NNetBot",13,0.582,0
"59","NNetBot",14,0.772,0
"60","NNetBot",15,1,0
"61","NNetBot",16,0.488,1
"62","NNetBot",17,0.336,1
"63","NNetBot",18,0.382,1
"64","NNetBot",19,0.324,1
"65","NNetBot",20,0.336,1
"66","NNetBot",21,0.348,1
"67","NNetBot",22,0.374,1
"68","NNetBot",23,0.36,1
"69","NNetBot",24,0.396,1
"70","NNetBot",25,0.382,1
"71","NNetBot",26,0.422,1
"72","NNetBot",27,0.444,1
"73","NNetBot",28,0.574,1
"74","NNetBot",29,0.778,1
"75","NNetBot",30,1,1
"76","NNetBot",31,0.426,2
"77","NNetBot",32,0.356,2
"78","NNetBot",33,0.364,2
"79","NNetBot",34,0.334,2
"80","NNetBot",35,0.344,2
"81","NNetBot",36,0.372,2
"82","NNetBot",37,0.318,2
"83","NNetBot",38,0.352,2
"84","NNetBot",39,0.336,2
"85","NNetBot",40,0.356,2
"86","NNetBot",41,0.45,2
"87","NNetBot",42,0.448,2
"88","NNetBot",43,0.536,2
"89","NNetBot",44,0.782,2
"90","NNetBot",45,1,2
"91","RandomBot",1,0.05,0
"92","RandomBot",2,0.078,0
"93","RandomBot",3,0.056,0
"94","RandomBot",4,0.072,0
"95","RandomBot",5,0.11,0
"96","RandomBot",6,0.096,0
"97","RandomBot",7,0.116,0
"98","RandomBot",8,0.128,0
"99","RandomBot",9,0.154,0
"100","RandomBot",10,0.148,0
"101","RandomBot",11,0.24,0
"102","RandomBot",12,0.282,0
"103","RandomBot",13,0.356,0
"104","RandomBot",14,0.502,0
"105","RandomBot",15,1,0
"106","RandomBot",16,0.054,1
"107","RandomBot",17,0.076,1
"108","RandomBot",18,0.058,1
"109","RandomBot",19,0.078,1
"110","RandomBot",20,0.078,1
"111","RandomBot",21,0.11,1
"112","RandomBot",22,0.092,1
