name,avg,var,count,color,rarity,legendary,x,y,freq
ahn-crop_invader,9.38602660143709,9.908925673654082,6541,R,common,0,0.06238634069608548,-0.09913322635578002,19565
aid_the_fallen,6.901118304885227,7.755378384473642,3398,B,common,0,0.04797227220815603,0.10218415208998113,9872
ajani's_pridemate,4.036637931034483,4.9307697309750305,1856,W,uncommon,0,-0.08438981302199645,0.009690703772692119,5253
ajani_the_greathearted,1.5456971314209473,1.1618544005988425,1499,Multi,rare,1,-0.10514940108367944,-0.0136693385351572,6407
angrath's_rampage,7.89193475305845,15.813197298869254,4414,Multi,uncommon,0,0.07489968226690925,-0.015892266880313845,10218
angrath_captain_of_chaos,1.902370203160271,0.68177767784804,1772,Multi,uncommon,1,0.05531734014114954,-0.012191094151262112,4952
arboreal_grazer,10.98156474820144,8.748311220627814,8896,G,common,0,-0.0687600349992569,-0.012850921314756706,27405
arlinn's_wolf,8.400378480670451,9.17735589892594,7398,G,common,0,-0.10336613153279978,-0.025245296638296236,21774
arlinn_voice_of_the_pack,1.9873417721518987,0.994776478128505,1580,G,uncommon,1,-0.10660842843771876,-0.030607858658996866,5517
ashiok's_skulker,10.008964143426295,7.803704504690401,6024,U,common,0,0.04370089558432943,0.03385396478950512,18225
ashiok_dream_render,3.1863317757009346,2.500911310485632,1712,Multi,uncommon,1,0.04826802546991489,0.07334747168663859,4312
augur_of_bolas,5.8643776824034335,7.240834054780897,2330,U,uncommon,0,0.07564138543431397,0.023838563632446668,6558
aven_eternal,3.9911687335588124,4.27594605984165,5322,U,common,0,0.05952239924656538,0.03956174967387586,18098
awakening_of_vitu-ghazi,1.0044893378226711,0.00446918366858509,891,G,rare,0,-0.09667124732802321,-0.023283843771426064,2737
band_together,3.7404169468728985,3.3878957239360727,2974,G,common,0,-0.11421047477059483,-0.030058080067006752,10501
banehound,10.863992306635527,8.89893562076785,7279,B,common,0,0.030528105889818743,0.06451989995698033,22279
battlefield_promotion,8.009084556254368,8.821021593828577,4293,W,common,0,-0.07431791340138744,-0.005792730486348828,12609
bioessence_hydra,4.733009708737864,13.168660705869678,2884,Multi,rare,0,-0.04510753798019239,0.002236503019710335,8357
blast_zone,1.7049180327868851,0.6488100570336528,549,C,rare,0,-0.005572413422526202,0.002421444311861686,1474
bleeding_edge,1.5057880676758681,0.36394690788967665,1123,B,uncommon,0,0.049109730747149014,0.09948961501781511,3633
blindblast,9.19779527559055,9.002136871473743,3175,R,common,0,0.07552979205571739,-0.1213359816589843,9997
bloom_hulk,4.946732734592753,5.096574180969326,6458,G,common,0,-0.1108659582599998,-0.026095312331488225,18289
bolas's_citadel,1.9305993690851735,1.2033854451731036,634,B,rare,1,0.03659735941523411,0.0869077166197485,1981
bolt_bend,6.611265646731572,8.887133168652955,1438,R,uncommon,0,0.07128133087679994,-0.11928545376995041,4017
bond_of_discipline,6.362757731958763,8.77884497223403,1552,W,uncommon,0,-0.067859087166561,0.0037725772873326005,4522
bond_of_flourishing,7.555160142348755,9.72667266118717,2810,G,uncommon,0,-0.09089513718635085,-0.01573297870206692,7898
bond_of_insight,8.483711747285291,10.922982471698132,3039,U,uncommon,0,0.06088638382617695,0.021580245024950036,8694
bond_of_passion,6.969081272084805,9.422188908589193,1132,R,uncommon,0,0.07111391991860902,-0.12076519885245753,3646
bond_of_revival,5.8278580814717476,7.2949400902402095,1522,B,uncommon,0,0.0437754761714907,0.09030114271730391,4135
bulwark_giant,11.540740740740741,5.50161654532025,7020,W,common,0,-0.04733191004650285,0.010928677208843197,22529
burning_prophet,6.770697674418605,8.420908815575988,4300,R,common,0,0.09316707066300492,-0.13191115207390755,12385
callous_dismissal,5.757872058336096,6.422812574946808,6034,U,common,0,0.06796173819933325,0.0331225117227867,17925
casualties_of_war,1.7603222557905338,1.6202987883969253,993,Multi,rare,0,-0.0474582522357742,0.05064730311883504,3621
centaur_nurturer,5.956855895196506,6.949579634255639,5725,G,common,0,-0.10403928338570118,-0.01524718463104091,15956
chainwhip_cyclops,7.888491779842745,8.865335752434216,2798,R,common,0,0.062451243562450874,-0.14179567604729373,8415
challenger_troll,3.618815896188159,3.908226659536443,2466,G,uncommon,0,-0.10399082279034173,-0.02773472324299071,7044
chandra's_pyrohelix,4.997310715763343,5.6344569795831445,4834,R,common,0,0.08332837452876779,-0.1349652519669347,13446
chandra's_triumph,1.739845261121857,0.6934413687057829,1034,R,uncommon,0,0.07738100211749538,-0.12622111417614817,4098
chandra_fire_artisan,1.0021074815595363,0.0021030400810125678,949,R,rare,1,0.06204237082639008,-0.1020629342703637,2769
charity_extractor,9.306382012264365,8.257935649660544,4403,B,common,0,0.032431871841395496,0.09412713868744409,14434
charmed_stray,11.02355460385439,10.1294821672053,10274,W,common,0,-0.04577362942381038,0.005732482928367221,30534
command_the_dreadhorde,3.0262390670553936,3.570740082788634,1029,B,rare,0,0.037733503660993796,0.08769485926749829,2946
commence_the_endgame,1.4404883011190235,0.5618194970655778,983,U,rare,0,0.0556232620784315,0.029239406528132898,3713
contentious_plan,9.063257775434897,9.190937831812237,9485,U,common,0,0.05084045202930353,0.028677109897666312,27911
courage_in_crisis,9.030869694271297,9.234428480794238,6738,G,common,0,-0.09702861559767098,-0.021819255863176578,20978
cruel_celebrant,7.520585544373285,15.739664676960903,3279,Multi,uncommon,0,-0.013260672241161025,0.08273177198462528,8132
crush_dissent,10.669728690450759,7.897970637777584,9362,U,common,0,0.04506594104013485,0.026137149605035614,28680
cyclops_electromancer,3.5265042979942693,3.5258018201821,1396,R,uncommon,0,0.10358285626628885,-0.127132725106889,4194
davriel's_shadowfugue,10.830237358101135,7.738466507128624,5814,B,common,0,0.03479601278672909,0.0706849674349451,18499
davriel_rogue_shadowmage,3.274,2.956924,2000,B,uncommon,1,0.042683469012067585,0.09621656957459553,5744
deathsprout,2.6809475806451615,3.1648386182199526,1984,Multi,uncommon,0,-0.04813454975097802,0.05841191858573026,7332
defiant_strike,10.25170902716915,8.038307771601245,5705,W,common,0,-0.05294558973911279,-0.009167957233952816,18075
deliver_unto_evil,2.7479806138933762,2.799167973776037,619,B,rare,0,0.043845995492461605,0.08320634933401985,1847
demolish,12.85046197583511,2.9376952378931818,7035,R,common,0,0.02926315856745154,-0.050215618139304447,19776
despark,3.8472744360902253,6.701768887090847,2128,Multi,uncommon,0,-0.016229694397540198,0.09035456600792717,7420
devouring_hellion,6.303431667670078,8.81822422606519,1661,R,uncommon,0,0.07142719509500546,-0.11715239896298572,4413
divine_arrow,4.6209596466572975,5.266085487430029,4981,W,common,0,-0.07362269782300973,0.008671631127252957,14894
domri's_ambush,2.7457777777777777,3.7469266172839495,1125,Multi,uncommon,0,-0.04048330519188101,-0.12164023290979868,5308
domri_anarch_of_bolas,2.2729007633587788,3.71623764155158,1572,Multi,rare,1,-0.033834508016437066,-0.09270632243455929,5323
dovin's_veto,11.483481908757211,9.65612463561922,5721,Multi,uncommon,0,-0.0008344025351304024,0.012049385521801279,16153
dovin_hand_of_control,3.260377358490566,2.8914489142043434,1325,Multi,uncommon,1,0.0027178201672672093,0.02594666931927465,3966
dreadhorde_arcanist,4.520252498684902,8.00866400778571,1901,R,rare,0,0.07014177237790473,-0.10605188715252052,4809
dreadhorde_butcher,4.135767256132344,11.209177063913577,1753,Multi,rare,0,0.08439085083393581,-0.01983302342164256,4707
dreadhorde_invasion,1.3762886597938144,0.4585541199155823,1358,B,rare,0,0.04366721653823212,0.07981165487189565,3732
dreadhorde_twins,3.7497206703910613,4.01222059236603,1790,R,uncommon,0,0.08697557401154916,-0.1188945768411888,4926
dreadmalkin,5.500635862653667,6.409389167531166,2359,B,uncommon,0,0.051627890990333235,0.09019559702512149,6170
duskmantle_operative,10.013653995345228,8.060635911312586,6445,B,common,0,0.03582084973642028,0.08147077873614052,20024
elite_guardmage,6.788638878642567,14.980040604006708,5422,Multi,uncommon,0,-0.012150853477804247,0.028389945490809275,15095
emergence_zone,6.578313253012048,6.38242125127014,664,C,uncommon,0,0.0022019222386219306,0.014387091616477474,2694
enforcer_griffin,7.7879616963064295,8.2073360251109,5117,W,common,0,-0.07108063050848411,0.01250333339608646,14489
enter_the_god-eternals,1.003669724770642,0.003656257890749936,1090,Multi,rare,0,0.07329004185213525,0.08508889008835681,3898
erratic_visionary,7.571617598412173,8.460881505108754,6046,U,common,0,0.05865219160534257,0.03647930421711824,17094
eternal_skylord,1.6529080675422139,0.5918473905477979,1599,U,uncommon,0,0.05821601856268062,0.04168954607727745,6219
eternal_taskmaster,2.2818371607515657,1.0931495823908253,1437,B,uncommon,0,0.04369145977587548,0.09363863388128414,4694
evolution_sage,3.926904761904762,4.540133276643991,4200,G,uncommon,0,-0.10304781948799775,-0.021413092192888825,10610
