name,avg,var,count,color,rarity,legendary,x,y,freq
aegis_of_the_heavens,10.736694677871148,8.057654434322748,1071,W,Uncommon,0,0.08969857085227777,-0.382747832490095,3346
aethershield_artificer,4.646850044365572,5.960467007681896,1127,W,Uncommon,0,-0.25391020377100076,-0.4763747504376019,2802
ajani_adversary_of_tyrants,1.0,0.0,442,W,Mythic Rare,1,-0.04546231890971534,-0.6474723329920297,1318
ajani's_last_stand,1.252808988764045,0.2844022219416741,356,W,Rare,0,0.03160588933854594,-0.5412453604196056,1235
ajani's_pridemate,1.8129675810473815,0.6707545351086126,1203,W,Uncommon,0,0.397902005559338,-0.4909610658241613,3477
ajani's_welcome,10.259211376858437,11.610249668959128,3094,W,Uncommon,0,0.281981623106627,-0.41432681708088925,9765
angel_of_the_dawn,2.555806938159879,1.5274285720785588,2652,W,Common,0,0.22769246961174452,-0.6507622158551326,9879
cavalry_drillmaster,5.629816635663035,5.650102198639013,3763,W,Common,0,0.2422129338655401,-0.5602951917366638,10742
cleansing_nova,1.0,0.0,616,W,Rare,0,-0.07630710204532282,-0.5066675051838757,1763
daybreak_chaplain,7.650295857988166,7.578101490377321,5070,W,Common,0,0.2944518620269692,-0.6013249194843456,15157
dwarven_priest,7.09598005609224,6.749902817925706,3209,W,Common,0,0.2683130963645919,-0.5985977942344414,9952
gallant_cavalry,4.6781256842566235,4.282208179517679,4567,W,Common,0,0.20010564775930192,-0.6456044220676599,12668
herald_of_faith,2.153055396916048,1.0982188198894913,1751,W,Uncommon,0,0.3161492794020146,-0.6096494012817751,5451
hieromancer's_cage,1.5310104529616724,0.3702927072078087,1435,W,Uncommon,0,-0.024511226171362675,-0.6784777506198589,4560
inspired_charge,8.927049180327868,8.908612604138673,4880,W,Common,0,0.24870869271916346,-0.4466296334700184,15105
invoke_the_divine,10.459640848902595,6.667380752563182,5513,W,Common,0,0.031310372472379625,-0.6138955812143944,16757
isolate,12.07514450867052,6.499170258500674,1038,W,Rare,0,0.03002341279338247,-0.3595929531425429,3393
knight_of_the_tusk,10.979710144927536,6.8209321952989255,3795,W,Common,0,0.029168437607577445,-0.6478474646325807,13143
knight's_pledge,10.751142944224322,7.640447489777251,6562,W,Common,0,0.01339729650824916,-0.6703409620545124,20884
knightly_valor,2.682581786030062,1.7657355094472078,1131,W,Uncommon,0,0.11595889017051764,-0.6835820114200779,3859
lena_selfless_champion,1.0,0.0,660,W,Rare,1,0.16998190099173568,-0.589173116758933,1915
leonin_vanguard,7.0164581961816985,9.091236698548688,3038,W,Uncommon,0,0.2939486632944532,-0.5289028707035821,8203
leonin_warleader,1.0,0.0,864,W,Rare,0,0.28363131320056745,-0.6563655101044731,2423
loxodon_line_breaker,9.651785714285714,7.616470025510204,3584,W,Common,0,0.11932653038326316,-0.6030687774323992,10861
luminous_bonds,2.1372017353579174,0.9155574625566416,3688,W,Common,0,0.06498642275601076,-0.7156651773116645,12290
make_a_stand,6.791666666666667,8.044342320261439,2040,W,Uncommon,0,0.1655758139644618,-0.3972394329353437,5933
mentor_of_the_meek,1.0274170274170273,0.026665334024641378,693,W,Rare,0,0.19548259451370997,-0.5947852642694701,1856
mighty_leap,9.507293354943274,7.916613473640338,3702,W,Common,0,0.169927706148596,-0.48668379728543476,11583
militia_bugler,2.652767792954709,1.798193273901599,1391,W,Uncommon,0,0.19345616476157512,-0.5392338041032955,4475
novice_knight,7.621298701298701,10.096065845842471,1925,W,Uncommon,0,0.006027805914371883,-0.5029060411374922,5151
oreskos_swiftclaw,8.906440548780488,8.27383047055092,5248,W,Common,0,0.2263538504506221,-0.5087804719139271,15689
pegasus_courser,3.993006993006993,3.44615006018119,4433,W,Common,0,0.17616131081800337,-0.674710626027817,12976
remorseful_cleric,2.61913357400722,2.441583364829465,554,W,Rare,0,0.10938333613091179,-0.49338902156469555,1736
resplendent_angel,1.0,0.0,427,W,Mythic Rare,0,0.33945896814965265,-0.536050201022211,1281
revitalize,11.452066289070695,6.043380983229002,4767,W,Common,0,0.07052707727716367,-0.5942041987531378,15664
rustwing_falcon,9.571182301393478,9.2620283249044,6961,W,Common,0,0.17900107048809924,-0.41483986431492215,20774
shield_mare,4.259833134684148,4.179209030558828,1678,W,Uncommon,0,0.22738367740917872,-0.6011556704015626,4674
star-crowned_stag,3.3582755203171457,2.5237694741381085,4036,W,Common,0,0.19219644564714358,-0.6909552233120749,12326
suncleanser,7.923566878980892,10.481419124508095,628,W,Rare,0,0.07089021966912962,-0.4242938389211781,1843
take_vengeance,5.206383330577146,5.708026063079168,6047,W,Common,0,0.14760646597669166,-0.6975636467071386,16485
trusty_packbeast,10.181653372008702,7.782085446201465,5516,W,Common,0,-0.10299085413441698,-0.5955972327735406,16267
valiant_knight,1.0328638497652582,0.03178381714386475,639,W,Rare,0,0.09849553853275261,-0.6551937357373457,1792
aether_tunnel,9.04961464354528,10.255245516240288,2076,U,Uncommon,0,-0.4431989073264055,-0.09964064550423558,5987
anticipate,8.91069507208952,7.820516129743308,4647,U,Common,0,-0.5876218413018788,-0.22788645362194404,14236
aven_wind_mage,5.866490416391276,5.748643576191477,4539,U,Common,0,-0.6528876665479445,-0.13441882435527822,12730
aviation_pioneer,5.069618696186962,4.856407849687353,4065,U,Common,0,-0.5688162493520844,-0.2636258645886041,12194
bone_to_ash,7.304163454124904,9.404400553082285,2594,U,Uncommon,0,-0.5490614817011453,-0.3254777346837879,7485
cancel,9.50749354005168,8.480434802929846,5805,U,Common,0,-0.6089834897847985,-0.09670651182098688,18805
departed_deckhand,1.7516778523489933,0.7139832826063176,1043,U,Uncommon,0,-0.6569306502271358,-0.24112523144076162,3511
disperse,6.209452897377792,5.915015854773897,3089,U,Common,0,-0.630722228015669,-0.19206917573247007,9519
divination,6.77988068298704,7.1023395043810185,4861,U,Common,0,-0.6576371595003433,-0.19429096170036114,13912
djinn_of_wishes,1.0,0.0,791,U,Rare,0,-0.5772535599397722,-0.1824291612009337,2184
dwindle,5.061546554445029,4.732140480341889,3802,U,Common,0,-0.6574643387914385,-0.17203804263769346,11315
essence_scatter,3.1495405179615705,2.227428778015772,2394,U,Common,0,-0.6460225801930483,-0.23417636330836317,8903
exclusion_mage,1.7771739130434783,0.5988992596093259,1104,U,Uncommon,0,-0.6242073804775295,-0.21769227551975767,3910
frilled_sea_serpent,9.62076749435666,6.742348459646383,3101,U,Common,0,-0.6787714961987725,-0.13296263496872393,10795
gearsmith_prodigy,11.271870794078062,6.846229833462851,4458,U,Common,0,-0.48505982053779323,-0.41456736221056956,15503
ghostform,11.651369168356998,5.460353094952047,3944,U,Common,0,-0.5327059403047607,-0.44187746951811213,13896
horizon_scholar,3.417337936325278,3.3463507193241644,2607,U,Uncommon,0,-0.6778380841201477,-0.16189705329914955,7132
metamorphic_alteration,3.2240259740259742,4.09591625906561,616,U,Rare,0,-0.5554848725298072,-0.15345727556363944,1860
mirror_image,3.6506276150627617,3.1673392155832936,1434,U,Uncommon,0,-0.600014592954686,-0.18121780018561426,4360
mistcaller,12.334550766983199,5.49654912251402,1369,U,Rare,0,-0.3898314855050005,-0.3075564495308837,3988
mystic_archaeologist,1.11,0.10790000000000001,600,U,Rare,0,-0.6387876138020802,-0.28467560303906336,1678
omenspeaker,6.621183694354426,6.486721641678522,5863,U,Common,0,-0.6125910115006478,-0.28531696440530435,16876
omniscience,11.03974358974359,14.161240959894808,780,U,Mythic Rare,0,-0.3803017550510013,-0.037475640082515645,2628
one_with_the_machine,5.596736596736597,10.082133872343661,429,U,Rare,0,-0.4431797365417104,-0.29642038965482875,1166
patient_rebuilding,1.0,0.0,719,U,Rare,0,-0.553671451617432,-0.2510053721475447,1763
psychic_corrosion,5.775239835541343,10.181552306572106,2189,U,Uncommon,0,-0.4954460510414625,-0.21045446340807872,5488
sai_master_thopterist,1.379591836734694,0.4722365680966264,735,U,Rare,1,-0.4670624131840937,-0.2981917495245486,1781
salvager_of_secrets,5.332453825857519,4.783054049099259,2274,U,Common,0,-0.6518682779784435,-0.21307061305077954,7575
scholar_of_stars,8.873587570621469,7.966364530466979,4248,U,Common,0,-0.5305357813123815,-0.29100062376997615,12828
sift,3.1754684838160134,2.8158888350373945,1174,U,Uncommon,0,-0.627802940140437,-0.17367064966432694,3757
skilled_animator,2.5112994350282487,1.8186105525232212,1062,U,Uncommon,0,-0.5200139923109485,-0.29732522430262287,3126
sleep,2.0103734439834025,0.9438757941495498,964,U,Uncommon,0,-0.6452780172444729,-0.15016610628924748,3378
snapping_drake,6.841665045710951,6.914825004319922,5141,U,Common,0,-0.6399722937075728,-0.26059375248486055,14612
supreme_phantom,5.909923664122138,9.046848085775887,1310,U,Rare,0,-0.4416513322512422,-0.164914438110756,3607
surge_mare,3.757548032936871,3.3071822769700554,1093,U,Uncommon,0,-0.5927818336075265,-0.21433286296725026,3469
switcheroo,3.791986359761296,3.7418965658838506,1173,U,Uncommon,0,-0.60378022578055,-0.25934475620288916,3902
tezzeret_artifice_master,1.0,0.0,434,U,Mythic Rare,1,-0.507360083615618,-0.09627174699026021,1316
tolarian_scholar,11.150765923138941,5.724918118011033,3721,U,Common,0,-0.5517286701593566,-0.4149220844856109,12611
totally_lost,8.496750902527076,7.161902800766333,2770,U,Common,0,-0.5945764039466319,-0.29021873783408636,8846
uncomfortable_chill,10.079890435973523,7.397863124265982,4381,U,Common,0,-0.6602298593692524,-0.08210627275669799,13766
wall_of_mist,9.174411587205794,7.757751992334052,3314,U,Common,0,-0.5583190471805709,-0.22582155276821939,11084
windreader_sphinx,1.106100795755968,0.1081060163654145,754,U,Rare,0,-0.6128009982736176,-0.12212335573788047,2020
abnormal_endurance,8.131744368779465,7.836755521871118,3818,B,Common,0,0.6199459693964865,-0.16309210343074707,11905
blood_divination,5.874293785310734,6.847192297870981,1416,B,Uncommon,0,0.5645173035242472,-0.05864369717743752,4070
bogstomper,11.19575,5.7344319375,4000,B,Common,0,0.6067957362389268,-0.3419183711171383,14733
