"","bot","pick_num","m","pack"
"1","BayesBot",1,0.684,0
"2","BayesBot",2,0.348,0
"3","BayesBot",3,0.326,0
"4","BayesBot",4,0.302,0
"5","BayesBot",5,0.324,0
"6","BayesBot",6,0.3,0
"7","BayesBot",7,0.32,0
"8","BayesBot",8,0.34,0
"9","BayesBot",9,0.358,0
"10","BayesBot",10,0.346,0
"11","BayesBot",11,0.41,0
"12","BayesBot",12,0.416,0
"13","BayesBot",13,0.54,0
"14","BayesBot",14,0.7,0
"15","BayesBot",15,1,0
"16","BayesBot",16,0.446,1
"17","BayesBot",17,0.352,1
"18","BayesBot",18,0.33,1
"19","BayesBot",19,0.338,1
"20","BayesBot",20,0.314,1
"21","BayesBot",21,0.316,1
"22","BayesBot",22,0.284,1
"23","BayesBot",23,0.342,1
"24","BayesBot",24,0.302,1
"25","BayesBot",25,0.342,1
"26","BayesBot",26,0.372,1
"27","BayesBot",27,0.412,1
"28","BayesBot",28,0.442,1
"29","BayesBot",29,0.716,1
"30","BayesBot",30,1,1
"31","BayesBot",31,0.39,2
"32","BayesBot",32,0.39,2
"33","BayesBot",33,0.336,2
"34","BayesBot",34,0.312,2
"35","BayesBot",35,0.318,2
"36","BayesBot",36,0.322,2
"37","BayesBot",37,0.294,2
"38","BayesBot",38,0.32,2
"39","BayesBot",39,0.306,2
"40","BayesBot",40,0.308,2
"41","BayesBot",41,0.322,2
"42","BayesBot",42,0.44,2
"43","BayesBot",43,0.51,2
"44","BayesBot",44,0.734,2
"45","BayesBot",45,1,2
"46","ClassicBot",1,0.684,0
"47","ClassicBot",2,0.43,0
"48","ClassicBot",3,0.352,0
"49","ClassicBot",4,0.294,0
"50","ClassicBot",5,0.322,0
"51","ClassicBot",6,0.322,0
"52","ClassicBot",7,0.364,0
"53","ClassicBot",8,0.356,0
"54","ClassicBot",9,0.376,0
"55","ClassicBot",10,0.4,0
"56","ClassicBot",11,0.426,0
"57","ClassicBot",12,0.452,0
"58","ClassicBot",13,0.578,0
"59","ClassicBot",14,0.804,0
"60","ClassicBot",15,1,0
"61","ClassicBot",16,0.374,1
"62","ClassicBot",17,0.294,1
"63","ClassicBot",18,0.288,1
"64","ClassicBot",19,0.272,1
"65","ClassicBot",20,0.308,1
"66","ClassicBot",21,0.306,1
"67","ClassicBot",22,0.322,1
"68","ClassicBot",23,0.364,1
"69","ClassicBot",24,0.384,1
"70","ClassicBot",25,0.39,1
"71","ClassicBot",26,0.42,1
"72","ClassicBot",27,0.428,1
"73","ClassicBot",28,0.57,1
"74","ClassicBot",29,0.81,1
"75","ClassicBot",30,1,1
"76","ClassicBot",31,0.334,2
"77","ClassicBot",32,0.352,2
"78","ClassicBot",33,0.296,2
"79","ClassicBot",34,0.316,2
"80","ClassicBot",35,0.304,2
"81","ClassicBot",36,0.332,2
"82","ClassicBot",37,0.322,2
"83","ClassicBot",38,0.358,2
"84","ClassicBot",39,0.342,2
"85","ClassicBot",40,0.342,2
"86","ClassicBot",41,0.414,2
"87","ClassicBot",42,0.496,2
"88","ClassicBot",43,0.554,2
"89","ClassicBot",44,0.798,2
"90","ClassicBot",45,1,2
"91","RandomBot",1,0.08,0
"92","RandomBot",2,0.092,0
"93","RandomBot",3,0.07,0
"94","RandomBot",4,0.086,0
"95","RandomBot",5,0.072,0
"96","RandomBot",6,0.094,0
"97","RandomBot",7,0.092,0
"98","RandomBot",8,0.106,0
"99","RandomBot",9,0.14,0
"100","RandomBot",10,0.168,0
"101","RandomBot",11,0.188,0
"102","RandomBot",12,0.254,0
"103","RandomBot",13,0.324,0
"104","RandomBot",14,0.5,0
"105","RandomBot",15,1,0
"106","RandomBot",16,0.05,1
"107","RandomBot",17,0.09,1
"108","RandomBot",18,0.076,1
"109","RandomBot",19,0.104,1
"110","RandomBot",20,0.104,1
"111","RandomBot",21,0.116,1
"112","RandomBot",22,0.12,1
"113","RandomBot",23,0.138,1
"114","RandomBot",24,0.156,1
"115","RandomBot",25,0.154,1
"116","RandomBot",26,0.188,1
"117","RandomBot",27,0.282,1
"118","RandomBot",28,0.35,1
"119","RandomBot",29,0.53,1
"120","RandomBot",30,1,1
"121","RandomBot",31,0.06,2
"122","RandomBot",32,0.092,2
"123","RandomBot",33,0.064,2
"124","RandomBot",34,0.068,2
"125","RandomBot",35,0.09,2
"126","RandomBot",36,0.096,2
"127","RandomBot",37,0.104,2
"128","RandomBot",38,0.138,2
"129","RandomBot",39,0.166,2
"130","RandomBot",40,0.17,2
"131","RandomBot",41,0.166,2
"132","RandomBot",42,0.264,2
"133","RandomBot",43,0.328,2
"134","RandomBot",44,0.532,2
"135","RandomBot",45,1,2
"136","RaredraftBot",1,0.538,0
"137","RaredraftBot",2,0.314,0
"138","RaredraftBot",3,0.262,0
"139","RaredraftBot",4,0.238,0
"140","RaredraftBot",5,0.178,0
"141","RaredraftBot",6,0.202,0
"142","RaredraftBot",7,0.284,0
"143","RaredraftBot",8,0.258,0
"144","RaredraftBot",9,0.282,0
"145","RaredraftBot",10,0.382,0
"146","RaredraftBot",11,0.472,0
"147","RaredraftBot",12,0.58,0
"148","RaredraftBot",13,0.716,0
"149","RaredraftBot",14,0.924,0
"150","RaredraftBot",15,1,0
"151","RaredraftBot",16,0.344,1
"152","RaredraftBot",17,0.264,1
"153","RaredraftBot",18,0.25,1
"154","RaredraftBot",19,0.2,1
"155","RaredraftBot",20,0.198,1
"156","RaredraftBot",21,0.19,1
"157","RaredraftBot",22,0.204,1
"158","RaredraftBot",23,0.248,1
"159","RaredraftBot",24,0.31,1
"160","RaredraftBot",25,0.338,1
"161","RaredraftBot",26,0.474,1
"162","RaredraftBot",27,0.536,1
"163","RaredraftBot",28,0.708,1
"164","RaredraftBot",29,0.948,1
"165","RaredraftBot",30,1,1
"166","RaredraftBot",31,0.302,2
"167","RaredraftBot",32,0.316,2
"168","RaredraftBot",33,0.258,2
"169","RaredraftBot",34,0.246,2
"170","RaredraftBot",35,0.27,2
"171","RaredraftBot",36,0.232,2
"172","RaredraftBot",37,0.196,2
"173","RaredraftBot",38,0.286,2
"174","RaredraftBot",39,0.302,2
"175","RaredraftBot",40,0.354,2
"176","RaredraftBot",41,0.472,2
"177","RaredraftBot",42,0.59,2
"178","RaredraftBot",43,0.746,2
"179","RaredraftBot",44,0.918,2
"180","RaredraftBot",45,1,2
