name,avg,var,count,color,rarity,legendary,x,y,freq
abnormal_endurance,8.643319332500852,8.053730201239377,8809,B,common,0,-0.04051182513203036,-0.07759967876959681,26607
act_of_treason,9.011468070065195,9.447515958037112,12731,R,common,0,0.04951428286429857,-0.07135424594931138,36957
aegis_of_the_heavens,10.359303771239121,8.531074857163565,2413,W,uncommon,0,-0.037735677429250436,-0.029354761142533558,7090
aerial_engineer,5.156215861918287,10.161963220172257,4577,Multi,uncommon,0,-0.0939128479293319,0.07102059968563777,14515
aether_tunnel,7.301788170563961,9.048126100932969,3635,U,uncommon,0,-0.045936384056423515,0.09139140662554056,10600
aethershield_artificer,4.571479628305933,5.6437469886843505,2798,W,uncommon,0,-0.08399940406616793,0.01979498401383815,6577
ajani's_last_stand,1.1136363636363635,0.11507720748151368,836,W,rare,0,-0.03983977532057783,-0.0296050459382537,2679
ajani's_pridemate,2.9151969074655715,2.6647098609616853,4139,W,uncommon,0,-0.05623396636543939,-0.07088942993733285,10432
ajani's_welcome,9.753623188405797,11.925138879835442,6003,W,uncommon,0,-0.04032357867655345,-0.043488172789167195,18185
ajani_adversary_of_tyrants,1.0,0.0,1063,W,mythic,1,-0.02823875850292473,-0.02672400144013664,2976
alpine_moon,12.390735898393725,6.566787542129311,2677,R,rare,0,0.011948816208943815,-0.0115909544149079,9156
amulet_of_safekeeping,10.646442601484068,10.32807442479358,2291,C,rare,0,-0.020095207492675148,0.007767391194218122,6778
angel_of_the_dawn,3.676658843609985,3.1788940638982153,9374,W,common,0,-0.039199284564183375,-0.0441207344096429,26874
anticipate,8.805328038388351,7.53594248980953,12087,U,common,0,-0.061875424568119466,0.09290352925352599,37427
apex_of_power,11.738878143133462,10.494678045112218,1551,R,mythic,0,0.017349669062749522,-0.01284197252946441,5002
arcades_the_strategist,1.3848133848133848,0.6202584272082341,777,Multi,mythic,1,-0.003368384074964556,0.05448313099972491,4901
arcane_encyclopedia,3.134412955465587,1.4888157484961237,2470,C,uncommon,0,-0.018469170166046805,0.02737463549742612,6445
aven_wind_mage,5.72303645246148,5.888341926142093,10644,U,common,0,-0.0655927155749048,0.10205951120116556,30514
aviation_pioneer,4.9618597493954715,4.91050399351948,9098,U,common,0,-0.08158284166763373,0.10993683328087495,28890
banefire,1.0005602240896359,0.0005599102386052461,1785,R,rare,0,0.04624357152957402,-0.031040569121279928,5295
blanchwood_armor,5.450864924549135,7.245009373363015,2717,G,uncommon,0,0.12275996607232541,0.06567893409082075,8000
blood_divination,5.354592720970537,6.018111489236444,2885,B,uncommon,0,-0.038179777489890765,-0.0821242769550719,8046
boggart_brute,6.012169003115265,6.534411884210533,10272,R,common,0,0.07271595550873815,-0.07623891511843839,29192
bogstomper,10.916939397359215,6.249956821629203,8861,B,common,0,-0.02861156165924786,-0.0489625972103614,32298
bone_dragon,1.0,0.0,879,B,mythic,0,-0.03193999132740475,-0.044673345517844874,2583
bone_to_ash,8.734673979280926,10.952271206934133,8205,U,uncommon,0,-0.05119782581621254,0.07594849153715166,24787
