Name	Casting Cost 1	Casting Cost 2	Card Type	Rarity	Rating
Crucible_of_Worlds	3	none	Spell	M	1.5
Nicol_Bolas,_the_Ravager	1UBR	none	Creature	M	4.6
Scapeshift	2GG	none	Spell	M	1.5
Sarkhan,_Fireblood	1RR	none	Planeswalker	M	3.3
Resplendent_Angel	1WW	none	Creature	M	4.3
Ajani,_Adversary_of_Tyrants	2WW	none	Planeswalker	M	4.4
Omniscience	7UUU	none	Spell	M	0.1
Vivien_Reid	3GG	none	Planeswalker	M	4.4
Chromium,_the_Mutable	4WUB	none	Creature	M	4.6
Vaevictis_Asmadi,_the_Dire	3BRG	none	Creature	M	4.3
Sai,_Master_Thopterist	2U	none	Creature	R	3
Death_Baron	1BB	none	Creature	R	3.3
Palladia-Mors,_the_Ruiner	3RGW	none	Creature	M	4.5
Alpine_Moon	R	none	Spell	R	0.5
Runic_Armasaur	1GG	none	Creature	R	2.8
Goblin_Trashmaster	2RR	none	Creature	R	3.3
Mistcaller	U	none	Creature	R	1
Cleansing_Nova	3WW	none	Spell	R	3.8
Remorseful_Cleric	1W	none	Creature	R	2.7
Lena,_Selfless_Champion	4WW	none	Creature	R	3.9
Goreclaw,_Terror_of_Qal_Sisma	3G	none	Creature	R	3.7
Bone_Dragon	3BB	none	Creature	M	3.9
Amulet_of_Safekeeping	2	none	Spell	R	1.4
Infernal_Reckoning	B	none	Removal	R	1.7
Valiant_Knight	3W	none	Creature	R	3.7
One_with_the_Machine	3U	none	Spell	R	2.3
Graveyard_Marshal	BB	none	Creature	R	3.5
Chaos_Wand	3	none	Spell	R	2.2
Spit_Flame	2R	none	Removal	R	3.9
Sigiled_Sword_of_Valeron	3	none	Spell	R	3.9
Reliquary_Tower	0	none	Land	U	0.5
Elvish_Clancaller	GG	none	Creature	R	2.2
Metamorphic_Alteration	1U	none	Spell	R	2.6
Lathliss,_Dragon_Queen	4RR	none	Creature	R	4.5
Dark-Dweller_Oracle	1R	none	Creature	R	2.9
Gigantosaurus	GGGGG	none	Creature	R	2
Isareth_the_Awakener	1BB	none	Creature	R	3.8
Demon_of_Catastrophes	4BB	none	Creature	R	4.2
Patient_Rebuilding	3UU	none	Spell	R	4
Sarkhan's_Unsealing	3R	none	Spell	R	3.8
Hungering_Hydra	XG	none	Creature	R	3.2
Prodigious_Growth	4GG	none	Spell	R	3.9
Desecrated_Tomb	3	none	Spell	R	1.6
Open_the_Graves	3BB	none	Spell	R	3
Magistrate's_Scepter	3	none	Spell	R	1.5
Phylactery_Lich	BBB	none	Creature	R	2.2
Ajani's_Welcome	W	none	Spell	U	1.7
Banefire	XR	none	Spell	R	4.1
Vivien's_Invocation	5GG	none	Spell	R	3.6
Dryad_Greenseeker	1G	none	Creature	U	3.6
Stitcher's_Supplier	B	none	Creature	U	1.9
Ajani's_Last_Stand	2WW	none	Spell	R	3.1
Diamond_Mare	2	none	Creature	U	2.3
Surge_Mare	UU	none	Creature	U	2.6
Shield_Mare	1WW	none	Creature	U	2.5
Lightning_Mare	RR	none	Creature	U	2.4
Vine_Mare	2GG	none	Creature	U	3.5
Plague_Mare	1BB	none	Creature	U	3
Reclamation_Sage	2G	none	Creature	U	2.6
Mirror_Image	1U	none	Creature	U	2.6
Militia_Bugler	2W	none	Creature	U	2.8
Exclusion_Mage	2U	none	Creature	U	3.1
Satyr_Enchanter	1WG	none	Creature	U	2.6
Mentor_of_the_Meek	2W	none	Creature	R	3.7
Aerial_Engineer	2UW	none	Creature	U	3
Departed_Deckhand	1U	none	Creature	U	3.1
Fountain_of_Renewal	1	none	Spell	U	2.3
Goblin_Instigator	1R	none	Creature	C	2.3
Draconic_Disciple	1RG	none	Creature	U	3.1
Volley_Veteran	3R	none	Creature	U	3.3
Poison-Tip_Archer	2BG	none	Creature	U	3
Meteor_Golem	7	none	Creature	U	2.7
Regal_Bloodlord	3WB	none	Creature	U	3.1
Skyrider_Patrol	2GU	none	Creature	U	3.2
Fell_Specter	3B	none	Creature	U	2.5
Nightmare's_Thirst	B	none	Removal	U	2.4
Elvish_Rejuvenator	2G	none	Creature	C	2.2
Skilled_Animator	2U	none	Creature	U	2.8
Guttersnipe	2R	none	Creature	U	2.4
Two-Headed_Zombie	3B	none	Creature	C	2.2
Psychic_Symbiont	4UB	none	Creature	U	3
Colossal_Majesty	2G	none	Spell	U	2.3
Thud	R	none	Removal	U	2.1
Brawl-Bash_Ogre	2RB	none	Creature	U	3
Blood_Divination	3B	none	Spell	U	2.3
Ajani's_Pridemate	1W	none	Creature	U	3
Reassembling_Skeleton	1B	none	Creature	U	2.6
Smelt	R	none	Spell	C	1.8
Diregraf_Ghoul	B	none	Creature	U	2.1
Lightning_Strike	1R	none	Removal	U	3.7
Act_of_Treason	2R	none	Spell	C	2
Anticipate	1U	none	Spell	C	2.1
Aven_Wind_Mage	2U	none	Creature	C	2.4
Bogstomper	4BB	none	Creature	C	1.9
Bristling_Boar	3G	none	Creature	C	2.3
Cancel	1UU	none	Instant	C	2
Centaur_Courser	2G	none	Creature	C	2.4
Colossal_Dreadmaw	4GG	none	Creature	C	2.3
Daybreak_Chaplain	1W	none	Creature	C	2.1
Disperse	1U	none	Instant	C	2.4
Dwarven_Priest	3W	none	Creature	C	2.2
Dwindle	2U	none	Spell	C	2.5
Child_of_Night	1B	none	Creature	C	2
Epicure_of_Blood	4B	none	Creature	C	2.3
Abnormal_Endurance	1B	none	Instant	C	2.2
Cavalry_Drillmaster	1W	none	Creature	C	2.4
Declare_Dominance	3GG	none	Spell	U	2.7
Trusty_Packbeast	2W	none	Creature	C	1.9
Divination	2U	none	Spell	C	2.3
Electrify	3R	none	Removal	C	2.9
Fiery_Finish	4RR	none	Removal	U	2.4
Fire_Elemental	3RR	none	Creature	C	2
Goblin_Motivator	R	none	Creature	C	1.9
Murder	1BB	none	Removal	U	3.8
Horizon_Scholar	5U	none	Creature	U	2.6
Rogue's_Gloves	2	none	Spell	U	2.1
Shock	R	none	Removal	C	2.8
Sparktongue_Dragon	3RR	none	Creature	C	2.4
Gearsmith_Prodigy	U	none	Creature	C	1.8
Gearsmith_Guardian	5	U	Creature	C	2.3
Manalith	3	none	Spell	C	1.9
Ghastbark_Twins	5GG	none	Creature	U	2.3
Herald_of_Faith	3WW	none	Creature	U	2.9
Gravedigger	3B	none	Creature	U	2.8
Volcanic_Dragon	4RR	none	Creature	U	2.8
Viashino_Pyromancer	1R	none	Creature	C	2
Hostile_Minotaur	3R	none	Creature	C	2.1
Inspired_Charge	2WW	none	Instant	C	2
Knight's_Pledge	2W	none	Spell	C	1.8
Loxodon_Line_Breaker	2W	none	Creature	C	2
Mighty_Leap	1W	none	Instant	C	2
Omenspeaker	1U	none	Creature	C	2.3
Onakke_Ogre	2R	none	Creature	C	2
Scholar_of_Stars	3U	none	Creature	C	2.1
Sure_Strike	1R	none	Instant	C	2.1
Tormenting_Voice	1R	none	Spell	C	2
Druid_of_the_Cowl	1G	none	Creature	C	2.9
Field_Creeper	2	none	Creature	C	1.8
Skyscanner	3	none	Creature	C	2.5
Frilled_Sea_Serpent	4UU	none	Creature	C	2.1
