human_pick	RandomBot	RaredratBot	ClassicBot
Abnormal_Endurance	0.1391304347826087	0.25217391304347825	0.41739130434782606
Act_of_Treason	0.14857142857142858	0.3314285714285714	0.32571428571428573
Aegis_of_the_Heavens	0.13333333333333333	0.8	0.2222222222222222
Aerial_Engineer	0.14583333333333334	0.5729166666666666	0.4791666666666667
Aether_Tunnel	0.08571428571428572	0.7285714285714285	0.08571428571428572
Aethershield_Artificer	0.13043478260869565	0.5869565217391305	0.21739130434782608
Ajani's_Last_Stand	0.13333333333333333	1.0	0.7333333333333333
Ajani's_Pridemate	0.08620689655172414	0.4482758620689655	0.6379310344827587
Ajani's_Welcome	0.2871287128712871	0.7722772277227723	0.15841584158415842
Ajani_Adversary_of_Tyrants	0.0	1.0	1.0
Alpine_Moon	0.4857142857142857	1.0	0.6
Amulet_of_Safekeeping	0.21621621621621623	1.0	0.1891891891891892
Angel_of_the_Dawn	0.10526315789473684	0.03508771929824561	0.5350877192982456
Anticipate	0.24074074074074073	0.30864197530864196	0.35185185185185186
Apex_of_Power	0.5384615384615384	1.0	0.38461538461538464
Arcades_the_Strategist	0.13793103448275862	1.0	0.7241379310344828
Arcane_Encyclopedia	0.1111111111111111	0.4444444444444444	0.18518518518518517
Aven_Wind_Mage	0.18243243243243243	0.16216216216216217	0.36486486486486486
Aviation_Pioneer	0.1258741258741259	0.1258741258741259	0.34965034965034963
Banefire	0.07692307692307693	1.0	0.7692307692307693
Blanchwood_Armor	0.14814814814814814	0.7407407407407407	0.4074074074074074
Blood_Divination	0.038461538461538464	0.8076923076923077	0.3076923076923077
Boggart_Brute	0.11764705882352941	0.13445378151260504	0.36134453781512604
Bogstomper	0.3028169014084507	0.49295774647887325	0.4084507042253521
Bone_Dragon	0.125	1.0	1.0
Bone_to_Ash	0.22580645161290322	0.782258064516129	0.4274193548387097
Brawl-Bash_Ogre	0.07462686567164178	0.6865671641791045	0.44776119402985076
Bristling_Boar	0.12698412698412698	0.07936507936507936	0.4523809523809524
Cancel	0.2169811320754717	0.41037735849056606	0.3867924528301887
Catalyst_Elemental	0.34108527131782945	0.4496124031007752	0.4573643410852713
Cavalry_Drillmaster	0.13274336283185842	0.11504424778761062	0.35398230088495575
Centaur_Courser	0.11235955056179775	0.11235955056179775	0.4606741573033708
Chaos_Wand	0.07692307692307693	1.0	0.16923076923076924
Child_of_Night	0.0948905109489051	0.1386861313868613	0.19708029197080293
Chromium_the_Mutable	0.15	1.0	0.75
Cinder_Barrens	0.32786885245901637	0.3114754098360656	0.5081967213114754
Cleansing_Nova	0.14285714285714285	1.0	0.8571428571428571
Colossal_Dreadmaw	0.11764705882352941	0.17058823529411765	0.4294117647058823
Colossal_Majesty	0.14	0.6	0.34
Crash_Through	0.38095238095238093	0.6369047619047619	0.4642857142857143
Crucible_of_Worlds	0.13157894736842105	1.0	0.05263157894736842
Daggerback_Basilisk	0.15897435897435896	0.14358974358974358	0.4512820512820513
Dark-Dweller_Oracle	0.2727272727272727	1.0	0.7272727272727273
Daybreak_Chaplain	0.15328467153284672	0.22627737226277372	0.26277372262773724
Death_Baron	0.0	1.0	0.625
Declare_Dominance	0.07894736842105263	0.5789473684210527	0.5526315789473685
Demanding_Dragon	0.03571428571428571	1.0	0.7857142857142857
Demon_of_Catastrophes	0.047619047619047616	1.0	0.8571428571428571
Departed_Deckhand	0.08571428571428572	0.5142857142857142	0.6
Desecrated_Tomb	0.4	1.0	0.13333333333333333
Detection_Tower	0.3333333333333333	1.0	0.2222222222222222
Diamond_Mare	0.07142857142857142	0.47619047619047616	0.11904761904761904
Diregraf_Ghoul	0.10344827586206896	0.7413793103448276	0.22413793103448276
Dismissive_Pyromancer	0.058823529411764705	1.0	0.5882352941176471
Disperse	0.14189189189189189	0.16216216216216217	0.581081081081081
Divination	0.10606060606060606	0.18181818181818182	0.3484848484848485
Djinn_of_Wishes	0.09090909090909091	1.0	0.9545454545454546
Doomed_Dissenter	0.16546762589928057	0.19424460431654678	0.37410071942446044
Doublecast	0.23684210526315788	0.7631578947368421	0.631578947368421
Draconic_Disciple	0.13829787234042554	0.6808510638297872	0.574468085106383
Dragon's_Hoard	0.09090909090909091	1.0	0.09090909090909091
Dragon_Egg	0.21428571428571427	0.5	0.21428571428571427
Druid_of_Horns	0.11320754716981132	0.6226415094339622	0.37735849056603776
Druid_of_the_Cowl	0.08759124087591241	0.021897810218978103	0.6204379562043796
Dryad_Greenseeker	0.06060606060606061	0.5606060606060606	0.8181818181818182
Duress	0.3411764705882353	0.5	0.4235294117647059
Dwarven_Priest	0.14084507042253522	0.07042253521126761	0.23943661971830985
Dwindle	0.11578947368421053	0.05263157894736842	0.4
Electrify	0.045454545454545456	0.01818181818181818	0.38181818181818183
Elvish_Clancaller	0.08333333333333333	1.0	0.0
Elvish_Rejuvenator	0.128099173553719	0.12396694214876033	0.2809917355371901
Enigma_Drake	0.12280701754385964	0.7192982456140351	0.47368421052631576
Epicure_of_Blood	0.102803738317757	0.11214953271028037	0.32710280373831774
Essence_Scatter	0.12408759124087591	0.13138686131386862	0.6058394160583942
Exclusion_Mage	0.05660377358490566	0.4716981132075472	0.6037735849056604
Explosive_Apparatus	0.07352941176470588	0.029411764705882353	0.10294117647058823
Fell_Specter	0.1111111111111111	0.4	0.3333333333333333
Field_Creeper	0.1958762886597938	0.18556701030927836	0.12371134020618557
Fiery_Finish	0.09375	0.40625	0.25
Fire_Elemental	0.35294117647058826	0.4117647058823529	0.5529411764705883
Forest_1	0.9387755102040817	0.9591836734693877	0.9183673469387755
Forest_2	0.9318181818181818	0.9545454545454546	0.9090909090909091
Forest_3	0.96	0.98	0.96
Forest_4	0.9591836734693877	0.9795918367346939	0.9183673469387755
Forsaken_Sanctuary	0.18032786885245902	0.3114754098360656	0.4262295081967213
Foul_Orchard	0.3783783783783784	0.28378378378378377	0.7162162162162162
Fountain_of_Renewal	0.2	0.68	0.3
Fraying_Omnipotence	0.3181818181818182	1.0	0.20454545454545456
Frilled_Sea_Serpent	0.27350427350427353	0.4358974358974359	0.48717948717948717
Gallant_Cavalry	0.13793103448275862	0.034482758620689655	0.35344827586206895
Gargoyle_Sentinel	0.03571428571428571	0.6428571428571429	0.2857142857142857
Gearsmith_Guardian	0.15517241379310345	0.07758620689655173	0.3793103448275862
Gearsmith_Prodigy	0.34523809523809523	0.49404761904761907	0.4226190476190476
Ghastbark_Twins	0.0784313725490196	0.6470588235294118	0.3137254901960784
Ghirapur_Guide	0.11428571428571428	0.7142857142857143	0.34285714285714286
Ghostform	0.3464566929133858	0.5669291338582677	0.4251968503937008
Giant_Spider	0.08053691275167785	0.174496644295302	0.4429530201342282
Gift_of_Paradise	0.09230769230769231	0.7076923076923077	0.35384615384615387
Gigantosaurus	0.2727272727272727	1.0	0.2727272727272727
Goblin_Instigator	0.10483870967741936	0.10483870967741936	0.3387096774193548
Goblin_Motivator	0.2689655172413793	0.4413793103448276	0.3931034482758621
Goblin_Trashmaster	0.125	1.0	0.5
Goreclaw_Terror_of_Qal_Sisma	0.08571428571428572	1.0	0.8285714285714286
Gravedigger	0.2564102564102564	0.48717948717948717	0.38461538461538464
Graveyard_Marshal	0.037037037037037035	1.0	0.8518518518518519
Greenwood_Sentinel	0.24727272727272728	0.43272727272727274	0.3927272727272727
Guttersnipe	0.045454545454545456	0.5454545454545454	0.25
Havoc_Devils	0.11594202898550725	0.12318840579710146	0.30434782608695654
Herald_of_Faith	0.08928571428571429	0.44642857142857145	0.5357142857142857
Heroic_Reinforcements	0.12307692307692308	0.6461538461538462	0.4461538461538462
Hieromancer's_Cage	0.06666666666666667	0.3111111111111111	0.7777777777777778
Highland_Game	0.2552083333333333	0.40625	0.4791666666666667
Highland_Lake	0.38028169014084506	0.4225352112676056	0.5352112676056338
Hired_Blade	0.24651162790697675	0.33488372093023255	0.39069767441860465
Horizon_Scholar	0.075	0.525	0.375
Hostile_Minotaur	0.16	0.28	0.344
Hungering_Hydra	0.07692307692307693	1.0	0.5769230769230769
Infectious_Horror	0.3981042654028436	0.5971563981042654	0.4218009478672986
Infernal_Reckoning	0.35714285714285715	1.0	0.21428571428571427
Infernal_Scarring	0.3130434782608696	0.4782608695652174	0.23478260869565218
Inferno_Hellion	0.22608695652173913	0.7565217391304347	0.5478260869565217
Inspired_Charge	0.17475728155339806	0.2815533980582524	0.3592233009708738
Invoke_the_Divine	0.2411764705882353	0.4764705882352941	0.36470588235294116
Isareth_the_Awakener	0.12	1.0	0.68
Island_1	0.9318181818181818	0.9318181818181818	0.8863636363636364
Island_2	0.9629629629629629	0.9444444444444444	0.8703703703703703
Island_3	1.0	0.9642857142857143	0.9464285714285714
Island_4	0.9534883720930233	0.9534883720930233	0.9302325581395349
Isolate	0.4888888888888889	1.0	0.28888888888888886
Knight's_Pledge	0.3153153153153153	0.5405405405405406	0.4144144144144144
Knight_of_the_Tusk	0.2994011976047904	0.437125748502994	0.3473053892215569
Knightly_Valor	0.046511627906976744	0.3953488372093023	0.4186046511627907
Lathliss_Dragon_Queen	0.10714285714285714	1.0	0.8928571428571429
Lava_Axe	0.2658959537572254	0.4624277456647399	0.3988439306358382
Lena_Selfless_Champion	0.13636363636363635	1.0	0.8636363636363636
Leonin_Vanguard	0.2054794520547945	0.6712328767123288	0.273972602739726
Leonin_Warleader	0.07142857142857142	1.0	0.9285714285714286
Lich's_Caress	0.10416666666666667	0.010416666666666666	0.6458333333333334
Lightning_Mare	0.03125	0.5	0.25
Lightning_Strike	0.06818181818181818	0.2727272727272727	0.8181818181818182
Liliana's_Contract	0.0	1.0	0.16666666666666666
Liliana_Untouched_by_Death	0.06666666666666667	1.0	0.13333333333333333
Loxodon_Line_Breaker	0.27450980392156865	0.38235294117647056	0.43137254901960786
Luminous_Bonds	0.049586776859504134	0.0	0.5371900826446281
Macabre_Waltz	0.13953488372093023	0.18604651162790697	0.37209302325581395
Magistrate's_Scepter	0.3	1.0	0.15
Make_a_Stand	0.04411764705882353	0.6176470588235294	0.20588235294117646
Manalith	0.17391304347826086	0.1608695652173913	0.1782608695652174
Marauder's_Axe	0.1111111111111111	0.015873015873015872	0.07936507936507936
Meandering_River	0.24761904761904763	0.2571428571428571	0.4380952380952381
Mentor_of_the_Meek	0.13636363636363635	1.0	0.9090909090909091
Metamorphic_Alteration	0.0625	1.0	0.125
Meteor_Golem	0.08771929824561403	0.47368421052631576	0.15789473684210525
Mighty_Leap	0.16363636363636364	0.3	0.32727272727272727
Militia_Bugler	0.10810810810810811	0.3783783783783784	0.43243243243243246
Millstone	0.22972972972972974	0.8108108108108109	0.12162162162162163
Mind_Rot	0.20967741935483872	0.27419354838709675	0.3225806451612903
Mirror_Image	0.10526315789473684	0.5	0.47368421052631576
Mistcaller	0.3617021276595745	1.0	0.2765957446808511
Mountain_1	0.9818181818181818	1.0	0.9454545454545454
Mountain_2	0.98	1.0	0.98
Mountain_3	0.9787234042553191	0.9787234042553191	0.9787234042553191
Mountain_4	0.9565217391304348	0.9782608695652174	0.9347826086956522
Murder	0.041666666666666664	0.16666666666666666	0.8958333333333334
Mystic_Archaeologist	0.15789473684210525	1.0	0.6842105263157895
Naturalize	0.3768844221105528	0.5527638190954773	0.507537688442211
Nicol_Bolas_the_Ravager	0.045454545454545456	1.0	0.7727272727272727
Nightmare's_Thirst	0.11363636363636363	0.6818181818181818	0.4318181818181818
Novice_Knight	0.08695652173913043	0.5434782608695652	0.2608695652173913
Oakenform	0.23976608187134502	0.38011695906432746	0.6198830409356725
Omenspeaker	0.15	0.155	0.385
Omniscience	0.3333333333333333	1.0	0.3611111111111111
Onakke_Ogre	0.22388059701492538	0.3283582089552239	0.4701492537313433
One_with_the_Machine	0.07692307692307693	1.0	0.15384615384615385
