draft_num	pick_num	human_pick	RandomBot	RaredraftBot	ClassicBot
1	1	Pelakka_Wurm	1	1	1
1	2	Guttersnipe	1	1	0
1	3	Angel_of_the_Dawn	1	0	1
1	4	Suspicious_Bookcase	1	1	0
1	5	Gift_of_Paradise	1	1	1
1	6	Bristling_Boar	1	0	1
1	7	Rhox_Oracle	1	1	1
1	8	Rhox_Oracle	1	0	1
1	9	Hostile_Minotaur	1	1	1
1	10	Viashino_Pyromancer	1	1	1
1	11	Tectonic_Rift	1	1	1
1	12	Oakenform	1	1	1
1	13	Plummet	1	1	1
1	14	Hired_Blade	1	1	1
1	15	Mountain_1	1	1	1
1	16	Sigiled_Sword_of_Valeron	1	1	1
1	17	Reclamation_Sage	1	1	1
1	18	Bristling_Boar	1	0	0
1	19	Sure_Strike	1	1	1
1	20	Druid_of_Horns	1	1	1
1	21	Skyrider_Patrol	1	1	1
1	22	Departed_Deckhand	1	1	1
1	23	Talons_of_Wildwood	1	1	1
1	24	Colossal_Dreadmaw	1	1	1
1	25	Greenwood_Sentinel	1	1	1
1	26	Disperse	1	1	1
1	27	Trusty_Packbeast	1	1	1
1	28	Scholar_of_Stars	1	1	1
1	29	Mistcaller	1	1	1
1	30	Island_2	1	1	1
1	31	Skyrider_Patrol	1	1	1
1	32	Dryad_Greenseeker	1	1	1
1	33	Switcheroo	1	1	1
1	34	Frilled_Sea_Serpent	1	0	1
1	35	Dwindle	1	0	1
1	36	Skyrider_Patrol	1	1	1
1	37	Divination	1	1	1
1	38	Gearsmith_Guardian	1	1	1
1	39	Chaos_Wand	1	1	1
1	40	Oakenform	1	1	1
1	41	Ghostform	1	1	1
1	42	Root_Snare	1	1	1
1	43	Scapeshift	1	1	1
1	44	Naturalize	1	1	1
1	45	Wall_of_Vines	1	1	1
2	1	Transmogrifying_Wand	1	1	1
2	2	Disperse	1	0	1
2	3	Gearsmith_Guardian	1	0	0
2	4	Aven_Wind_Mage	1	0	1
2	5	Daybreak_Chaplain	1	1	0
2	6	Diamond_Mare	1	1	0
2	7	Salvager_of_Secrets	1	1	1
2	8	Cavalry_Drillmaster	1	1	1
2	9	Anticipate	1	0	1
2	10	Frilled_Sea_Serpent	1	0	1
