"","bot","pick_num","m","pack"
"1","BayesBot",1,0.68,0
"2","BayesBot",2,0.34,0
"3","BayesBot",3,0.313333333333333,0
"4","BayesBot",4,0.283333333333333,0
"5","BayesBot",5,0.306666666666667,0
"6","BayesBot",6,0.286666666666667,0
"7","BayesBot",7,0.32,0
"8","BayesBot",8,0.313333333333333,0
"9","BayesBot",9,0.336666666666667,0
"10","BayesBot",10,0.353333333333333,0
"11","BayesBot",11,0.4,0
"12","BayesBot",12,0.453333333333333,0
"13","BayesBot",13,0.536666666666667,0
"14","BayesBot",14,0.713333333333333,0
"15","BayesBot",15,1,0
"16","BayesBot",16,0.466666666666667,1
"17","BayesBot",17,0.363333333333333,1
"18","BayesBot",18,0.36,1
"19","BayesBot",19,0.336666666666667,1
"20","BayesBot",20,0.34,1
"21","BayesBot",21,0.33,1
"22","BayesBot",22,0.27,1
"23","BayesBot",23,0.326666666666667,1
"24","BayesBot",24,0.28,1
"25","BayesBot",25,0.36,1
"26","BayesBot",26,0.353333333333333,1
"27","BayesBot",27,0.41,1
"28","BayesBot",28,0.44,1
"29","BayesBot",29,0.706666666666667,1
"30","BayesBot",30,1,1
"31","BayesBot",31,0.393333333333333,2
"32","BayesBot",32,0.423333333333333,2
"33","BayesBot",33,0.356666666666667,2
"34","BayesBot",34,0.33,2
"35","BayesBot",35,0.3,2
"36","BayesBot",36,0.313333333333333,2
"37","BayesBot",37,0.316666666666667,2
"38","BayesBot",38,0.336666666666667,2
"39","BayesBot",39,0.303333333333333,2
"40","BayesBot",40,0.306666666666667,2
"41","BayesBot",41,0.313333333333333,2
"42","BayesBot",42,0.456666666666667,2
"43","BayesBot",43,0.483333333333333,2
"44","BayesBot",44,0.746666666666667,2
"45","BayesBot",45,1,2
"46","ClassicBot",1,0.666666666666667,0
"47","ClassicBot",2,0.42,0
"48","ClassicBot",3,0.386666666666667,0
"49","ClassicBot",4,0.286666666666667,0
"50","ClassicBot",5,0.31,0
"51","ClassicBot",6,0.31,0
"52","ClassicBot",7,0.38,0
"53","ClassicBot",8,0.333333333333333,0
"54","ClassicBot",9,0.376666666666667,0
"55","ClassicBot",10,0.41,0
"56","ClassicBot",11,0.423333333333333,0
"57","ClassicBot",12,0.433333333333333,0
"58","ClassicBot",13,0.556666666666667,0
"59","ClassicBot",14,0.786666666666667,0
"60","ClassicBot",15,1,0
"61","ClassicBot",16,0.39,1
"62","ClassicBot",17,0.303333333333333,1
"63","ClassicBot",18,0.31,1
"64","ClassicBot",19,0.276666666666667,1
"65","ClassicBot",20,0.323333333333333,1
"66","ClassicBot",21,0.32,1
"67","ClassicBot",22,0.336666666666667,1
"68","ClassicBot",23,0.353333333333333,1
"69","ClassicBot",24,0.406666666666667,1
"70","ClassicBot",25,0.403333333333333,1
"71","ClassicBot",26,0.446666666666667,1
"72","ClassicBot",27,0.416666666666667,1
"73","ClassicBot",28,0.573333333333333,1
"74","ClassicBot",29,0.796666666666667,1
"75","ClassicBot",30,1,1
"76","ClassicBot",31,0.356666666666667,2
"77","ClassicBot",32,0.373333333333333,2
"78","ClassicBot",33,0.326666666666667,2
"79","ClassicBot",34,0.306666666666667,2
"80","ClassicBot",35,0.286666666666667,2
"81","ClassicBot",36,0.366666666666667,2
"82","ClassicBot",37,0.303333333333333,2
"83","ClassicBot",38,0.343333333333333,2
"84","ClassicBot",39,0.35,2
"85","ClassicBot",40,0.36,2
"86","ClassicBot",41,0.416666666666667,2
"87","ClassicBot",42,0.52,2
"88","ClassicBot",43,0.58,2
"89","ClassicBot",44,0.816666666666667,2
"90","ClassicBot",45,1,2
"91","NNetBot",1,0.706666666666667,0
"92","NNetBot",2,0.443333333333333,0
"93","NNetBot",3,0.393333333333333,0
"94","NNetBot",4,0.366666666666667,0
"95","NNetBot",5,0.353333333333333,0
"96","NNetBot",6,0.346666666666667,0
"97","NNetBot",7,0.396666666666667,0
"98","NNetBot",8,0.37,0
"99","NNetBot",9,0.363333333333333,0
"100","NNetBot",10,0.413333333333333,0
"101","NNetBot",11,0.41,0
"102","NNetBot",12,0.446666666666667,0
"103","NNetBot",13,0.533333333333333,0
"104","NNetBot",14,0.806666666666667,0
"105","NNetBot",15,1,0
"106","NNetBot",16,0.44,1
"107","NNetBot",17,0.386666666666667,1
"108","NNetBot",18,0.383333333333333,1
"109","NNetBot",19,0.403333333333333,1
"110","NNetBot",20,0.356666666666667,1
"111","NNetBot",21,0.366666666666667,1
"112","NNetBot",22,0.32,1
"113","NNetBot",23,0.353333333333333,1
"114","NNetBot",24,0.376666666666667,1
"115","NNetBot",25,0.41,1
"116","NNetBot",26,0.386666666666667,1
"117","NNetBot",27,0.453333333333333,1
"118","NNetBot",28,0.573333333333333,1
"119","NNetBot",29,0.81,1
"120","NNetBot",30,1,1
"121","NNetBot",31,0.323333333333333,2
"122","NNetBot",32,0.39,2
"123","NNetBot",33,0.396666666666667,2
"124","NNetBot",34,0.343333333333333,2
"125","NNetBot",35,0.34,2
"126","NNetBot",36,0.376666666666667,2
"127","NNetBot",37,0.383333333333333,2
"128","NNetBot",38,0.37,2
"129","NNetBot",39,0.4,2
"130","NNetBot",40,0.38,2
"131","NNetBot",41,0.403333333333333,2
"132","NNetBot",42,0.5,2
"133","NNetBot",43,0.58,2
"134","NNetBot",44,0.826666666666667,2
"135","NNetBot",45,1,2
"136","RandomBot",1,0.08,0
"137","RandomBot",2,0.08,0
"138","RandomBot",3,0.08,0
"139","RandomBot",4,0.0933333333333333,0
"140","RandomBot",5,0.0633333333333333,0
"141","RandomBot",6,0.0833333333333333,0
"142","RandomBot",7,0.09,0
"143","RandomBot",8,0.1,0
"144","RandomBot",9,0.133333333333333,0
"145","RandomBot",10,0.193333333333333,0
"146","RandomBot",11,0.183333333333333,0
"147","RandomBot",12,0.233333333333333,0
"148","RandomBot",13,0.303333333333333,0
"149","RandomBot",14,0.513333333333333,0
"150","RandomBot",15,1,0
"151","RandomBot",16,0.0833333333333333,1
"152","RandomBot",17,0.0766666666666667,1
"153","RandomBot",18,0.06,1
"154","RandomBot",19,0.0933333333333333,1
"155","RandomBot",20,0.0866666666666667,1
"156","RandomBot",21,0.0666666666666667,1
"157","RandomBot",22,0.11,1
"158","RandomBot",23,0.113333333333333,1
"159","RandomBot",24,0.12,1
"160","RandomBot",25,0.193333333333333,1
"161","RandomBot",26,0.203333333333333,1
"162","RandomBot",27,0.23,1
"163","RandomBot",28,0.36,1
"164","RandomBot",29,0.523333333333333,1
"165","RandomBot",30,1,1
"166","RandomBot",31,0.0633333333333333,2
"167","RandomBot",32,0.0566666666666667,2
"168","RandomBot",33,0.0833333333333333,2
"169","RandomBot",34,0.0766666666666667,2
"170","RandomBot",35,0.05,2
"171","RandomBot",36,0.103333333333333,2
"172","RandomBot",37,0.1,2
"173","RandomBot",38,0.12,2
"174","RandomBot",39,0.156666666666667,2
"175","RandomBot",40,0.13,2
"176","RandomBot",41,0.206666666666667,2
"177","RandomBot",42,0.26,2
"178","RandomBot",43,0.3,2
"179","RandomBot",44,0.516666666666667,2
"180","RandomBot",45,1,2
"181","RaredraftBot",1,0.52,0
"182","RaredraftBot",2,0.18,0
"183","RaredraftBot",3,0.156666666666667,0
"184","RaredraftBot",4,0.153333333333333,0
"185","RaredraftBot",5,0.146666666666667,0
"186","RaredraftBot",6,0.163333333333333,0
"187","RaredraftBot",7,0.21,0
"188","RaredraftBot",8,0.17,0
"189","RaredraftBot",9,0.166666666666667,0
"190","RaredraftBot",10,0.253333333333333,0
"191","RaredraftBot",11,0.3,0
"192","RaredraftBot",12,0.31,0
"193","RaredraftBot",13,0.413333333333333,0
"194","RaredraftBot",14,0.64,0
"195","RaredraftBot",15,1,0
"196","RaredraftBot",16,0.366666666666667,1
"197","RaredraftBot",17,0.193333333333333,1
"198","RaredraftBot",18,0.17,1
"199","RaredraftBot",19,0.163333333333333,1
"200","RaredraftBot",20,0.146666666666667,1
"201","RaredraftBot",21,0.13,1
"202","RaredraftBot",22,0.143333333333333,1
"203","RaredraftBot",23,0.163333333333333,1
"204","RaredraftBot",24,0.19,1
"205","RaredraftBot",25,0.213333333333333,1
"206","RaredraftBot",26,0.25,1
"207","RaredraftBot",27,0.316666666666667,1
"208","RaredraftBot",28,0.39,1
"209","RaredraftBot",29,0.616666666666667,1
"210","RaredraftBot",30,1,1
"211","RaredraftBot",31,0.32,2
"212","RaredraftBot",32,0.286666666666667,2
"213","RaredraftBot",33,0.2,2
"214","RaredraftBot",34,0.203333333333333,2
"215","RaredraftBot",35,0.21,2
"216","RaredraftBot",36,0.173333333333333,2
"217","RaredraftBot",37,0.136666666666667,2
"218","RaredraftBot",38,0.206666666666667,2
"219","RaredraftBot",39,0.196666666666667,2
"220","RaredraftBot",40,0.196666666666667,2
"221","RaredraftBot",41,0.286666666666667,2
"222","RaredraftBot",42,0.35,2
"223","RaredraftBot",43,0.483333333333333,2
"224","RaredraftBot",44,0.64,2
"225","RaredraftBot",45,1,2
