draft_num	pick_num	human_pick	RandomBot	MiscBot
1	1	Ajani_Adversary_of_Tyrants	0	0
1	2	Exclusion_Mage	0	0
1	3	Meteor_Golem	0	0
1	4	Pegasus_Courser	0	0
1	5	Omenspeaker	0	0
1	6	Dragon_Egg	0	1
1	7	Isolate	0	0
1	8	Greenwood_Sentinel	0	0
1	9	Pegasus_Courser	0	0
1	10	Daggerback_Basilisk	0	0
1	11	Anticipate	1	0
1	12	Satyr_Enchanter	1	0
1	13	Reliquary_Tower	0	0
1	14	Talons_of_Wildwood	0	1
1	15	Forest_3	1	1
1	16	Militia_Bugler	0	0
1	17	Supreme_Phantom	0	0
1	18	Skyscanner	1	0
1	19	Disperse	0	0
1	20	Omenspeaker	0	0
1	21	Snapping_Drake	0	0
1	22	Thornhide_Wolves	0	0
1	23	Rustwing_Falcon	0	0
1	24	Daggerback_Basilisk	0	0
1	25	Ghostform	0	0
1	26	Declare_Dominance	0	1
1	27	Plummet	0	1
1	28	Crash_Through	0	1
1	29	Greenwood_Sentinel	1	0
1	30	Foul_Orchard	1	1
1	31	Hungering_Hydra	1	0
1	32	Dryad_Greenseeker	0	0
1	33	Vine_Mare	0	1
1	34	Giant_Spider	0	0
1	35	Hungering_Hydra	0	0
1	36	Manalith	0	0
1	37	Druid_of_the_Cowl	0	0
1	38	Daggerback_Basilisk	0	0
1	39	Highland_Game	0	0
1	40	Poison-Tip_Archer	0	0
1	41	Greenwood_Sentinel	1	1
1	42	Knight_of_the_Tusk	0	1
1	43	Reclamation_Sage	0	0
1	44	Knight_of_the_Tusk	1	0
1	45	Forest_3	1	1
2	1	Druid_of_the_Cowl	0	0
2	2	Colossal_Dreadmaw	0	0
2	3	Plummet	0	0
2	4	Colossal_Dreadmaw	0	0
2	5	Titanic_Growth	0	0
2	6	Thornhide_Wolves	0	0
2	7	Daggerback_Basilisk	1	1
2	8	Giant_Spider	0	0
2	9	Greenwood_Sentinel	0	0
2	10	Tectonic_Rift	0	0
2	11	Wall_of_Vines	0	0
2	12	Rustwing_Falcon	0	1
2	13	Hired_Blade	1	1
2	14	Infernal_Scarring	1	0
2	15	Forest_3	1	1
2	16	Gift_of_Paradise	0	0
2	17	Reclamation_Sage	0	0
2	18	Elvish_Rejuvenator	0	0
2	19	Highland_Game	0	0
2	20	Plummet	0	0
2	21	Rhox_Oracle	0	0
2	22	Crucible_of_Worlds	1	0
2	23	Naturalize	0	0
2	24	Plummet	0	1
2	25	Rhox_Oracle	0	0
2	26	Foul_Orchard	0	0
2	27	Wall_of_Vines	0	1
2	28	Lava_Axe	1	1
2	29	Root_Snare	1	1
2	30	Swamp_3	1	1
2	31	Rabid_Bite	0	1
2	32	Greenwood_Sentinel	1	0
2	33	Daggerback_Basilisk	0	0
2	34	Bristling_Boar	0	1
2	35	Titanic_Growth	0	0
2	36	Titanic_Growth	0	0
2	37	Rhox_Oracle	1	0
2	38	Woodland_Stream	0	0
2	39	Highland_Game	0	0
2	40	Draconic_Disciple	0	0
2	41	Ajani's_Welcome	1	0
2	42	Talons_of_Wildwood	1	0
2	43	Omniscience	1	1
2	44	Lava_Axe	1	0
2	45	Swamp_4	1	1
3	1	Herald_of_Faith	0	0
3	2	Remorseful_Cleric	0	0
3	3	Star-Crowned_Stag	0	0
3	4	Skyscanner	0	0
3	5	Druid_of_Horns	0	0
3	6	Oakenform	0	0
3	7	Manalith	0	1
3	8	Knight_of_the_Tusk	0	0
3	9	Trusty_Packbeast	0	0
3	10	Oreskos_Swiftclaw	0	0
3	11	Totally_Lost	0	1
3	12	Daggerback_Basilisk	0	0
3	13	Wall_of_Mist	0	1
3	14	Infectious_Horror	1	1
3	15	Island_1	1	1
3	16	Runic_Armasaur	0	0
3	17	Luminous_Bonds	0	0
3	18	Aethershield_Artificer	1	0
3	19	Suncleanser	0	0
3	20	Cavalry_Drillmaster	0	0
3	21	Druid_of_Horns	0	0
3	22	Rustwing_Falcon	0	0
3	23	Timber_Gorge	0	0
3	24	Daggerback_Basilisk	0	0
3	25	Colossal_Dreadmaw	0	0
3	26	Wall_of_Vines	0	0
3	27	Timber_Gorge	0	0
3	28	Frilled_Sea_Serpent	1	0
3	29	Infectious_Horror	1	0
3	30	Scholar_of_Stars	1	1
3	31	Angel_of_the_Dawn	0	0
