human_pick	RandomBot	RaredraftBot	ClassicBot	NNetBot
Abnormal_Endurance	0.1592920353982301	0.23008849557522124	0.36283185840707965	0.336283185840708
Act_of_Treason	0.17482517482517482	0.3006993006993007	0.3356643356643357	0.4405594405594406
Aegis_of_the_Heavens	0.3125	0.8125	0.25	0.15625
Aerial_Engineer	0.09859154929577464	0.6901408450704225	0.5915492957746479	0.352112676056338
Aether_Tunnel	0.18867924528301888	0.7735849056603774	0.2641509433962264	0.2830188679245283
Aethershield_Artificer	0.047619047619047616	0.5476190476190477	0.42857142857142855	0.30952380952380953
Ajani's_Last_Stand	0.0	1.0	0.7857142857142857	0.8571428571428571
Ajani's_Pridemate	0.0196078431372549	0.49019607843137253	0.47058823529411764	0.5294117647058824
Ajani's_Welcome	0.24468085106382978	0.8085106382978723	0.2127659574468085	0.44680851063829785
Ajani_Adversary_of_Tyrants	0.0	1.0	0.7142857142857143	1.0
Alpine_Moon	0.5	1.0	0.375	0.575
Amulet_of_Safekeeping	0.27906976744186046	1.0	0.27906976744186046	0.4418604651162791
Angel_of_the_Dawn	0.06382978723404255	0.07092198581560284	0.475177304964539	0.45390070921985815
Anticipate	0.22797927461139897	0.3005181347150259	0.36787564766839376	0.39896373056994816
Apex_of_Power	0.24	1.0	0.32	0.52
Arcades_the_Strategist	0.15	1.0	0.6	0.6
Arcane_Encyclopedia	0.10344827586206896	0.3103448275862069	0.13793103448275862	0.13793103448275862
Aven_Wind_Mage	0.10256410256410256	0.10256410256410256	0.32051282051282054	0.40384615384615385
Aviation_Pioneer	0.06293706293706294	0.08391608391608392	0.40559440559440557	0.4825174825174825
Banefire	0.08333333333333333	1.0	0.875	0.9583333333333334
Blanchwood_Armor	0.038461538461538464	0.7307692307692307	0.46153846153846156	0.23076923076923078
Blood_Divination	0.1951219512195122	0.5609756097560976	0.34146341463414637	0.43902439024390244
Boggart_Brute	0.11864406779661017	0.09322033898305085	0.3644067796610169	0.3305084745762712
Bogstomper	0.2846153846153846	0.5153846153846153	0.5384615384615384	0.4846153846153846
Bone_Dragon	0.1	1.0	0.8	0.9
Bone_to_Ash	0.20754716981132076	0.8113207547169812	0.44339622641509435	0.4339622641509434
Brawl-Bash_Ogre	0.2	0.7285714285714285	0.4142857142857143	0.45714285714285713
Bristling_Boar	0.12598425196850394	0.12598425196850394	0.4409448818897638	0.4409448818897638
