draft_num	pick_num	human_pick	RandomBot	RaredraftBot	ClassicBot	NNetBot
1	1	Vivien's_Invocation	0	1	1	1
1	2	Horizon_Scholar	0	1	0	0
1	3	Skilled_Animator	0	1	0	0
1	4	Gearsmith_Prodigy	0	0	0	0
1	5	Manalith	0	0	0	0
1	6	Colossal_Dreadmaw	0	0	0	1
1	7	Anticipate	0	0	0	0
1	8	Tolarian_Scholar	0	0	0	0
1	9	Gearsmith_Prodigy	0	1	0	0
1	10	Highland_Game	0	0	1	0
1	11	Cancel	1	1	1	0
1	12	Infernal_Reckoning	0	1	0	0
1	13	Naturalize	1	1	1	1
1	14	Ghostform	0	1	1	1
1	15	Mountain_1	1	1	1	1
1	16	Windreader_Sphinx	0	1	1	0
1	17	Vine_Mare	0	0	1	1
1	18	Disperse	0	0	0	0
1	19	Druid_of_Horns	0	0	0	0
1	20	Knight's_Pledge	0	0	0	0
1	21	Oakenform	0	0	1	0
1	22	Oakenform	0	0	0	0
1	23	Cancel	0	1	0	0
1	24	Psychic_Corrosion	0	1	0	0
1	25	Knight's_Pledge	0	1	0	0
1	26	Root_Snare	1	0	0	0
1	27	Bone_to_Ash	0	1	1	0
1	28	Desecrated_Tomb	0	1	1	0
1	29	Bogstomper	0	1	1	1
1	30	Duress	1	1	1	1
1	31	Rupture_Spire	0	0	0	0
1	32	Ghastbark_Twins	0	0	0	0
1	33	Psychic_Corrosion	0	0	0	0
1	34	Frilled_Sea_Serpent	0	0	0	0
1	35	Aviation_Pioneer	1	0	0	0
1	36	Rabid_Bite	0	0	1	1
1	37	Rhox_Oracle	0	0	0	0
1	38	Skyrider_Patrol	0	1	1	0
1	39	Greenwood_Sentinel	0	0	0	0
1	40	Root_Snare	1	0	0	1
1	41	Snapping_Drake	0	1	1	1
1	42	Fraying_Omnipotence	1	1	0	0
1	43	Scholar_of_Stars	0	1	0	0
1	44	Wall_of_Vines	1	1	1	1
1	45	Tolarian_Scholar	1	1	1	1
2	1	Skymarch_Bloodletter	0	0	0	0
2	2	Doomed_Dissenter	0	0	0	0
2	3	Explosive_Apparatus	0	0	0	0
2	4	Poison-Tip_Archer	0	1	0	0
2	5	Skyscanner	1	0	0	1
2	6	Skymarch_Bloodletter	0	0	1	1
2	7	Doomed_Dissenter	0	0	1	0
2	8	Doomed_Dissenter	0	0	1	1
2	9	Foul_Orchard	0	0	0	0
2	10	Mind_Rot	0	0	0	0
2	11	Cinder_Barrens	0	0	0	0
2	12	Sovereign's_Bite	0	0	1	1
2	13	Root_Snare	0	0	0	0
2	14	Bogstomper	0	1	1	1
2	15	Plains_2	1	1	1	1
2	16	Reassembling_Skeleton	0	0	0	0
2	17	Ravenous_Harpy	1	1	1	0
2	18	Vampire_Sovereign	0	1	1	1
2	19	Skymarch_Bloodletter	0	0	1	1
2	20	Gargoyle_Sentinel	0	1	1	1
2	21	Walking_Corpse	0	0	0	0
2	22	Doomed_Dissenter	0	0	1	1
2	23	Viashino_Pyromancer	0	0	0	0
2	24	Sovereign's_Bite	0	1	0	0
2	25	Goblin_Motivator	0	1	0	0
2	26	Thornhide_Wolves	1	1	0	0
2	27	Cinder_Barrens	0	0	1	0
2	28	Wall_of_Mist	0	1	0	0
2	29	Alpine_Moon	0	1	1	1
2	30	Swamp_4	1	1	1	1
2	31	Gift_of_Paradise	0	0	0	0
2	32	Goblin_Instigator	0	0	0	0
2	33	Act_of_Treason	0	0	0	0
