draft_num	pick_num	human_pick	RandomBot	RaredraftBot	ClassicBot	NNetBot
1	1	Vivien's_Invocation	1	0	0	0
1	2	Horizon_Scholar	1	0	3	2
1	3	Skilled_Animator	1	0	1	5
1	4	Gearsmith_Prodigy	1	2	8	10
1	5	Manalith	1	2	8	3
1	6	Colossal_Dreadmaw	1	2	1	0
1	7	Anticipate	1	2	5	5
1	8	Tolarian_Scholar	1	2	2	6
1	9	Gearsmith_Prodigy	1	0	4	5
1	10	Highland_Game	1	1	0	1
1	11	Cancel	0	0	0	3
1	12	Infernal_Reckoning	1	0	1	1
1	13	Naturalize	0	0	0	0
1	14	Ghostform	1	0	0	0
1	15	Mountain_1	0	0	0	0
1	16	Windreader_Sphinx	1	0	0	2
1	17	Vine_Mare	1	1	0	0
1	18	Disperse	1	3	1	8
1	19	Druid_of_Horns	1	1	2	3
1	20	Knight's_Pledge	1	1	5	7
1	21	Oakenform	1	1	0	1
1	22	Oakenform	1	3	2	1
1	23	Cancel	1	0	1	4
1	24	Psychic_Corrosion	1	0	1	1
1	25	Knight's_Pledge	1	0	2	2
1	26	Root_Snare	0	1	1	1
1	27	Bone_to_Ash	1	0	0	2
1	28	Desecrated_Tomb	1	0	0	1
1	29	Bogstomper	1	0	0	0
1	30	Duress	0	0	0	0
1	31	Rupture_Spire	1	1	1	5
1	32	Ghastbark_Twins	1	1	3	3
1	33	Psychic_Corrosion	1	1	4	4
1	34	Frilled_Sea_Serpent	1	3	1	6
1	35	Aviation_Pioneer	0	2	2	4
1	36	Rabid_Bite	1	4	0	0
1	37	Rhox_Oracle	1	2	3	1
1	38	Skyrider_Patrol	1	0	0	1
1	39	Greenwood_Sentinel	1	2	1	2
1	40	Root_Snare	0	2	4	0
1	41	Snapping_Drake	1	0	0	0
1	42	Fraying_Omnipotence	0	0	1	1
1	43	Scholar_of_Stars	1	0	1	2
1	44	Wall_of_Vines	0	0	0	0
1	45	Tolarian_Scholar	0	0	0	0
2	1	Skymarch_Bloodletter	1	7	3	4
2	2	Doomed_Dissenter	1	6	7	7
2	3	Explosive_Apparatus	1	3	6	3
2	4	Poison-Tip_Archer	1	0	10	1
2	5	Skyscanner	0	3	2	0
